OLD Block Name,Combined Shape Name,Converted On,Status,NOTES
brickCNRRamp,brickShapes:rampCorner,Alpha.20.0.122,Replaced,
brickCNRRampFiller,brickShapes:rampCornerFiller,Alpha.20.0.122,Replaced,
brickCNRRound,brickShapes:cornerRound,Alpha.20.0.122,Replaced,
brickCornerstone,brickShapes:cornerstone,Alpha.20.0.122,Replaced,
brickCTRQuarter,brickShapes:cubeQuarterCenter,Alpha.20.0.122,Replaced,
brickDestroyedBlock01,brickShapes:brickDestroyed01,Alpha.20.0.122,Replaced,
brickDestroyedBlock02,brickShapes:brickDestroyed02,Alpha.20.0.122,Replaced,
brickDestroyedBlock03,brickShapes:brickDestroyed03,Alpha.20.0.122,Replaced,
brickDestroyedBlock04,brickShapes:brickDestroyed04,Alpha.20.0.122,Replaced,
brickDestroyedBlock05,brickShapes:brickDestroyed05,Alpha.20.0.122,Replaced,
brickGable,brickShapes:wedgeTipHalf,Alpha.20.0.122,Replaced,
brickGableInvertedHalf,brickShapes:gableInvertedHalf,Alpha.20.0.122,Replaced,
brickGableQuarter,brickShapes:wedgeTipQuarter,Alpha.20.0.122,Replaced,
brickHalf,brickShapes:cubeHalf,Alpha.20.0.122,Replaced,
brickHalfBlockBaseboard1,brickShapes:halfBaseboard,Alpha.20.0.122,Replaced,
brickHalfBlockBaseboard4,brickShapes:halfBaseboard4Sided,Alpha.20.0.122,Replaced,
brickHalfBlockCornerBaseboard1,brickShapes:halfCornerBaseboard,Alpha.20.0.122,Replaced,
brickHalfBlockCornerBaseboard4,brickShapes:halfCornerBaseboard4Sided,Alpha.20.0.122,Replaced,
brickHalfCentered,brickShapes:cubeHalfCentered,Alpha.20.0.122,Replaced,
brickHalfCenteredDestroyedBlock01,brickShapes:brickHalfCenteredDestroyed01,Alpha.20.0.122,Replaced,
brickHalfCenteredDestroyedBlock02,brickShapes:brickHalfCenteredDestroyed02,Alpha.20.0.122,Replaced,
brickHalfCenteredDestroyedBlock03,brickShapes:brickHalfCenteredDestroyed03,Alpha.20.0.122,Replaced,
brickHalfCenteredDestroyedBlock04,brickShapes:brickHalfCenteredDestroyed04,Alpha.20.0.122,Replaced,
brickHalfCNRInside2,brickShapes:cupboardCorner,Alpha.20.0.122,Replaced,
brickHalfDestroyedBlock01,brickShapes:brickHalfDestroyed01,Alpha.20.0.122,Replaced,
brickHalfDestroyedBlock02,brickShapes:brickHalfDestroyed02,Alpha.20.0.122,Replaced,
brickHalfDestroyedBlock03,brickShapes:brickHalfDestroyed03,Alpha.20.0.122,Replaced,
brickHalfDestroyedBlock04,brickShapes:brickHalfDestroyed04,Alpha.20.0.122,Replaced,
brickHalfDestroyedBlock05,brickShapes:brickHalfDestroyed05,Alpha.20.0.122,Replaced,
brickHalfDestroyedBlock06,brickShapes:brickHalfDestroyed06,Alpha.20.0.122,Replaced,
brickHalfDestroyedBlock07,brickShapes:brickHalfDestroyed07,Alpha.20.0.122,Replaced,
brickHalfDestroyedBlock08,brickShapes:brickHalfDestroyed08,Alpha.20.0.122,Replaced,
brickHalfInsideCorner,brickShapes:cubeHalfInsideCorner,Alpha.20.0.122,Replaced,
brickHalfRampStairs50,brickShapes:halfRampStairs50,Alpha.20.0.122,Replaced,
brickHalfRampStairs50Filler,brickShapes:halfRampStairs50Filler,Alpha.20.0.122,Replaced,
brickHalfTrimSplit,brickShapes:halfTrimSplit,Alpha.20.0.122,Replaced,
brickPlate,brickShapes:plate,Alpha.20.0.122,Replaced,
brickPoleSCTR,brickShapes:poleSideCentered,Alpha.20.0.122,Replaced,
brickQuarter,brickShapes:cubeQuarter,Alpha.20.0.122,Replaced,
brickQuarterCNR,brickShapes:quarterInsideCorner,Alpha.20.0.122,Replaced,
brickQuarterSCtr,brickShapes:quarterCenteredWall,Alpha.20.0.122,Replaced,
brickQuarterTrimSplit,brickShapes:quarterTrimSplit,Alpha.20.0.122,Replaced,
brickRamp,brickShapes:ramp,Alpha.20.0.122,Replaced,
brickStairs25,brickShapes:stairsFilledVerticalUV,Alpha.20.0.122,Replaced,
brickStairs25CornerCNR,brickShapes:stairsFilledCorner,Alpha.20.0.122,Replaced,
brickStairs50,brickShapes:stairsFilledQuarterVerticalUV,Alpha.20.0.122,Replaced,
brickStairsFilledRailingLeft,brickShapes:stairsFilledRailingLeft,Alpha.20.0.122,Replaced,
brickStairsFilledRailingRight,brickShapes:stairsFilledRailingRight,Alpha.20.0.122,Replaced,
brickTunnelCenter,brickShapes:3mTunnelCenter,Alpha.20.0.122,Replaced,
brickTunnelCorner,brickShapes:3mTunnelCorner,Alpha.20.0.122,Replaced,
brickWedge,brickShapes:wedge60,Alpha.20.0.122,Replaced,
brickWedgeCNRInsideBottom,brickShapes:wedge60InsideCorner,Alpha.20.0.122,Replaced,
brickWedgeCNRInsideSteepBase,brickShapes:wedgeInsideCornerTop,Alpha.20.0.122,Replaced,
brickWedgeCNRInsideSteepTop,brickShapes:wedgeInsideCornerBase,Alpha.20.0.122,Replaced,
brickWedgeCNRInsideTop,brickShapes:wedge60InsideCorner2,Alpha.20.0.122,Replaced,
brickWedgeCNRSteepTop,brickShapes:wedge60TipCornerTop,Alpha.20.0.122,Replaced,
brickWedgeIncline,brickShapes:wedge60Incline,Alpha.20.0.122,Replaced,
brickWedgeNarrowHigh,brickShapes:wedgeNarrowHigh,Alpha.20.0.122,Replaced,
brickWedgeNarrowLow,brickShapes:wedgeNarrowLow,Alpha.20.0.122,Replaced,
brickWedgeNarrowMid,brickShapes:wedgeNarrowMid,Alpha.20.0.122,Replaced,
brickWedgeNarrowTip,brickShapes:wedgeNarrowTip,Alpha.20.0.122,Replaced,
brickWedgeStairs,brickShapes:wedgeStairs,Alpha.20.0.122,Replaced,
brickWedgeTip,brickShapes:wedge60Tip,Alpha.20.0.122,Replaced,
brickWedgeTipStairs,brickShapes:wedgeTipStairs,Alpha.20.0.122,Replaced,
brickWindowArch3MCNR,brickShapes:arch3mWindowCorner,Alpha.20.0.122,Replaced,
brickWindowArch3MCTR,brickShapes:arch3mCenterWindow,Alpha.20.0.122,Replaced,
brickWindowArch3MTip,brickShapes:arch3mWindowTip,Alpha.20.0.122,Replaced,
brickWindowArchTop,brickShapes:windowArchTop,Alpha.20.0.122,Replaced,
brickWindowCircle,brickShapes:windowCircle,Alpha.20.0.122,Replaced,
brickWindowCircleCorner,brickShapes:windowCircleCorner,Alpha.20.0.122,Replaced,
brickWindowRoundTop,brickShapes:windowTopRound,Alpha.20.0.122,Replaced,
cobblestoneArch,cobblestoneShapes:arch,Alpha.20.0.122,Replaced,
cobblestoneBlock,cobblestoneShapes:cube,Alpha.20.0.122,Replaced,
cobblestoneCNRRamp,cobblestoneShapes:rampCorner,Alpha.20.0.122,Replaced,
cobblestoneHalf,cobblestoneShapes:cubeHalf,Alpha.20.0.122,Replaced,
cobblestoneHalfQuarterPost,cobblestoneShapes:halfQuarterPost,Alpha.20.0.122,Replaced,
cobblestonePillar100,cobblestoneShapes:pillar100,Alpha.20.0.122,Replaced,
cobblestonePillar50,cobblestoneShapes:pillar50,Alpha.20.0.122,Replaced,
cobblestonePlate,cobblestoneShapes:plate,Alpha.20.0.122,Replaced,
cobblestonePole,cobblestoneShapes:pole,Alpha.20.0.122,Replaced,
cobblestonePyramid,cobblestoneShapes:pyramid,Alpha.20.0.122,Replaced,
cobblestoneQuarterCNR,cobblestoneShapes:quarterInsideCorner,Alpha.20.0.122,Replaced,
cobblestoneQuarterCNR3Way,cobblestoneShapes:quarterInsideCorner3way,Alpha.20.0.122,Replaced,
cobblestoneQuarterSCtr,cobblestoneShapes:quarterCenteredWall,Alpha.20.0.122,Replaced,
cobblestoneRamp,cobblestoneShapes:ramp,Alpha.20.0.122,Replaced,
cobblestoneStairs25,cobblestoneShapes:stairsFilledVerticalUV,Alpha.20.0.122,Replaced,
cobblestoneWedge,cobblestoneShapes:wedge60,Alpha.20.0.122,Replaced,
cobblestoneWedgeCNRInsideSteepTop,cobblestoneShapes:wedgeInsideCornerBase,Alpha.20.0.122,Replaced,
cobblestoneWedgeCNRSteepBase,cobblestoneShapes:wedge60TipCornerBase,Alpha.20.0.122,Replaced,
cobblestoneWedgeCNRSteepTop,cobblestoneShapes:wedge60TipCornerTop,Alpha.20.0.122,Replaced,
cobblestoneWedgeIncline,cobblestoneShapes:wedge60Incline,Alpha.20.0.122,Replaced,
cobblestoneWedgeStairs,cobblestoneShapes:wedgeStairs,Alpha.20.0.122,Replaced,
cobblestoneWedgeTip,cobblestoneShapes:wedge60Tip,Alpha.20.0.122,Replaced,
cobblestoneWedgeTipCNRFullBottom,cobblestoneShapes:wedge60TipCorner,Alpha.20.0.122,Replaced,
cobblestoneWedgeTipStairs,cobblestoneShapes:wedgeTipStairs,Alpha.20.0.122,Replaced,
concrete2PlateCorner,concreteShapes:plateCorner,Alpha.20.0.122,Replaced,
concrete2PlateCornerHalf,concreteShapes:plateCornerHalf,Alpha.20.0.122,Replaced,
concreteArch,concreteShapes:arch,Alpha.20.0.122,Replaced,
concreteArrowSlitHalf,concreteShapes:arrowSlitHalf,Alpha.20.0.122,Replaced,
concreteBlock,concreteShapes:cube,Alpha.20.0.122,Replaced,
concreteBlockBaseboard1,concreteShapes:cubeBaseboard,Alpha.20.0.122,Replaced,
concreteBlockBaseboard4,concreteShapes:cubeBaseboard4Sided,Alpha.20.0.122,Replaced,
concreteBlockBaseboardChairRail1,concreteShapes:cubeBaseboardChairRail,Alpha.20.0.122,Replaced,
concreteBlockBaseboardChairRail4,concreteShapes:cubeBaseboardChairRail4Sided,Alpha.20.0.122,Replaced,
concreteBlockTileBroken01,concreteShapes:cubeTileBroken,Alpha.20.0.122,Replaced,
concreteBlockTrimCNRRound,concreteShapes:cubeTrimCornerRound,Alpha.20.0.122,Replaced,
concreteBlockTrimHalfSplit,concreteShapes:cubeTrimHalfSplit,Alpha.20.0.122,Replaced,
concreteBlockTrimHalfSplit4Sided,concreteShapes:cubeTrimHalfSplit4Sided,Alpha.20.0.122,Replaced,
concreteBlockTrimHalfSplitDiagonal,concreteShapes:cubeTrimHalfSplitDiagonal,Alpha.20.0.122,Replaced,
concreteBlockTrimQuarterCornerInside,concreteShapes:cubeTrimQuarterCornerInside,Alpha.20.0.122,Replaced,
concreteBlockTrimQuarterCornerInsideTriangle,concreteShapes:cubeTrimQuarterCornerInsideTriangle,Alpha.20.0.122,Replaced,
concreteBlockTrimQuarterCornerOutside,concreteShapes:cubeTrimQuarterCornerOutside,Alpha.20.0.122,Replaced,
concreteBlockTrimQuarterCornerOutside2Sided,concreteShapes:cubeTrimQuarterCornerOutsideTwoSided,Alpha.20.0.122,Replaced,
concreteBlockTrimQuarterEdge,concreteShapes:cubeTrimQuarterEdge,Alpha.20.0.122,Replaced,
concreteBlockTrimQuarterEdge2Sided,concreteShapes:cubeTrimQuarterEdgeTwoSided,Alpha.20.0.122,Replaced,
concreteBlockTrimQuarterEdgeDouble,concreteShapes:cubeTrimQuarterEdgeDouble,Alpha.20.0.122,Replaced,
concreteBlockTrimQuarterEdgeRound,concreteShapes:cubeTrimQuarterEdgeRound,Alpha.20.0.122,Replaced,
concreteCNRFull,concreteShapes:rampOutsideCornerFull,Alpha.20.0.122,Replaced,
concreteCNRInside,concreteShapes:rampInsideCornerFull,Alpha.20.0.122,Replaced,
concreteCNRRamp,concreteShapes:rampCorner,Alpha.20.0.122,Replaced,
concreteCNRRampFiller,concreteShapes:rampCornerFiller,Alpha.20.0.122,Replaced,
concreteCNRRound,concreteShapes:cornerRound,Alpha.20.0.122,Replaced,
concreteCNRRoundTop,concreteShapes:cubeCornerRoundTop,Alpha.20.0.122,Replaced,
concreteCornerstone,concreteShapes:cornerstone,Alpha.20.0.122,Replaced,
concreteCTRPlate,concreteShapes:plateCentered,Alpha.20.0.122,Replaced,
concreteCTRpole,concreteShapes:poleCentered,Alpha.20.0.122,Replaced,
concreteCTRQuarter,concreteShapes:cubeQuarterCenter,Alpha.20.0.122,Replaced,
concreteCTRQuarterPlate4Way,concreteShapes:poleQuarterCenteredPlate4way,Alpha.20.0.122,Replaced,
concreteEighth,concreteShapes:cubeEighth,Alpha.20.0.122,Replaced,
concreteGable1m,concreteShapes:wedgeTipFull,Alpha.20.0.122,Replaced,
concreteGableInvertedHalf,concreteShapes:gableInvertedHalf,Alpha.20.0.122,Replaced,
concreteGableInvertedSteep,concreteShapes:gableInvertedSteep,Alpha.20.0.122,Replaced,
concreteGableQuarter,concreteShapes:wedgeTipQuarter,Alpha.20.0.122,Replaced,
concreteHalf,concreteShapes:cubeHalf,Alpha.20.0.122,Replaced,
concreteHalf3Quarter,concreteShapes:cubeHalfInsideCorner,Alpha.20.0.122,Replaced,Deprecated block that will be replaced during conversion
concreteHalfBlockBaseboard1,concreteShapes:halfBaseboard,Alpha.20.0.122,Replaced,
concreteHalfBlockBaseboard4,concreteShapes:halfBaseboard4Sided,Alpha.20.0.122,Replaced,
concreteHalfBlockChairRail1,concreteShapes:halfChairRail,Alpha.20.0.122,Replaced,
concreteHalfBlockChairRail4,concreteShapes:halfChairRail4Sided,Alpha.20.0.122,Replaced,
concreteHalfBlockCornerBaseboard1,concreteShapes:halfCornerBaseboard,Alpha.20.0.122,Replaced,
concreteHalfBlockCornerBaseboard4,concreteShapes:halfCornerBaseboard4Sided,Alpha.20.0.122,Replaced,
concreteHalfCentered,concreteShapes:cubeHalfCentered,Alpha.20.0.122,Replaced,
concreteHalfCNRInside2,concreteShapes:cupboardCorner,Alpha.20.0.122,Replaced,
concreteHalfInsideCorner,concreteShapes:cubeHalfInsideCorner,Alpha.20.0.122,Replaced,
concreteHalfPlate,concreteShapes:plateHalf,Alpha.20.0.122,Replaced,
concreteHalfQuarterPost,concreteShapes:halfQuarterPost,Alpha.20.0.122,Replaced,
concreteHalfRampStairs50,concreteShapes:halfRampStairs50,Alpha.20.0.122,Replaced,
concreteHalfRampStairs50Filler,concreteShapes:halfRampStairs50Filler,Alpha.20.0.122,Replaced,
concreteHalfTrimSplit,concreteShapes:halfTrimSplit,Alpha.20.0.122,Replaced,
concretePillar100,concreteShapes:pillar100,Alpha.20.0.122,Replaced,
concretePillar50,concreteShapes:pillar50,Alpha.20.0.122,Replaced,
concretePlate,concreteShapes:plate,Alpha.20.0.122,Replaced,
concretePlateBroke01,concreteShapes:plateSidewalkBroke01,Alpha.20.0.122,Replaced,
concretePlateBroke02,concreteShapes:plateSidewalkBroke02,Alpha.20.0.122,Replaced,
concretePlateBroke03,concreteShapes:plateSidewalkBroke03,Alpha.20.0.122,Replaced,
concretePlateBroke04,concreteShapes:plateSidewalkBroke04,Alpha.20.0.122,Replaced,
concretePlateCorner,concreteShapes:plateRound,Alpha.20.0.122,Replaced,
concretePlateCrooked,concreteShapes:plateSidewalkCrooked,Alpha.20.0.122,Replaced,
concretePlateHalfTriangle,concreteShapes:plateHalfTriangle,Alpha.20.0.122,Replaced,
concretePlateQuarterTriangle,concreteShapes:plateQuarterTriangle,Alpha.20.0.122,Replaced,
concretePlateRamp,concreteShapes:plateRamp,Alpha.20.0.122,Replaced,
concretePole,concreteShapes:pole,Alpha.20.0.122,Replaced,
concretePoleCornerRound,concreteShapes:poleSquareCornerRound,Alpha.20.0.122,Replaced,
concretePoleSCTR,concreteShapes:poleSideCentered,Alpha.20.0.122,Replaced,
concretePyramid,concreteShapes:pyramid,Alpha.20.0.122,Replaced,
concretePyramid1m,concreteShapes:pyramid1m,Alpha.20.0.122,Replaced,
concreteQuarter,concreteShapes:cubeQuarter,Alpha.20.0.122,Replaced,
concreteQuarterBroken,concreteShapes:cubeQuarterBroken,Alpha.20.0.122,Replaced,
concreteQuarterCNR,concreteShapes:quarterInsideCorner,Alpha.20.0.122,Replaced,
concreteQuarterCNR3Way,concreteShapes:quarterInsideCorner3way,Alpha.20.0.122,Replaced,
concreteQuarterPlate,concreteShapes:plateQuarter,Alpha.20.0.122,Replaced,
concreteQuarterSCtr,concreteShapes:quarterCenteredWall,Alpha.20.0.122,Replaced,
concreteQuarterTeeSCtr,concreteShapes:quarterTeeCentered,Alpha.20.0.122,Replaced,
concreteRamp,concreteShapes:ramp,Alpha.20.0.122,Replaced,
concreteRampIncline,concreteShapes:rampIncline,Alpha.20.0.122,Replaced,
concreteRampInclineFiller,concreteShapes:rampInclineFiller,Alpha.20.0.122,Replaced,
concreteRampTrimQuarter,concreteShapes:cubeTrimQuarterRamp,Alpha.20.0.122,Replaced,
concreteStairs25,concreteShapes:stairsFilledVerticalUV,Alpha.20.0.122,Replaced,
concreteStairs25CornerCNR,concreteShapes:stairsFilledCorner,Alpha.20.0.122,Replaced,
concreteStairs50,concreteShapes:stairsFilledQuarterVerticalUV,Alpha.20.0.122,Replaced,
concreteStairs50Split,concreteShapes:stairs50Split,Alpha.20.0.122,Replaced,
concreteStairsFilledRailingLeft,concreteShapes:stairsFilledRailingLeft,Alpha.20.0.122,Replaced,
concreteStairsFilledRailingMetalLeft,concreteShapes:stairsFilledRailingMetalLeft,Alpha.20.0.122,Replaced,
concreteStairsFilledRailingMetalRight,concreteShapes:stairsFilledRailingMetalRight,Alpha.20.0.122,Replaced,
concreteStairsFilledRailingRight,concreteShapes:stairsFilledRailingRight,Alpha.20.0.122,Replaced,
concreteStairsHollow,concreteShapes:stairsHollow,Alpha.20.0.122,Replaced,
concreteStairsHollowRailingLeft,concreteShapes:stairsHollowRailingLeft,Alpha.20.0.122,Replaced,
concreteStairsHollowRailingMetalLeft,concreteShapes:stairsHollowRailingMetalLeft,Alpha.20.0.122,Replaced,
concreteStairsHollowRailingMetalRight,concreteShapes:stairsHollowRailingMetalRight,Alpha.20.0.122,Replaced,
concreteStairsHollowRailingRight,concreteShapes:stairsHollowRailingRight,Alpha.20.0.122,Replaced,
concreteThreeQuarterPlate,concreteShapes:plateThreeQuarter,Alpha.20.0.122,Replaced,
ConcreteTrim1m,concreteShapes:doorTrim1m,Alpha.20.0.122,Replaced,
concreteTubeCenter,concreteShapes:3mTubeCenter,Alpha.20.0.122,Replaced,
concreteTubeCorner,concreteShapes:3mTubeCorner,Alpha.20.0.122,Replaced,
concreteTunnelCenter,concreteShapes:3mTunnelCenter,Alpha.20.0.122,Replaced,
concreteTunnelCorner,concreteShapes:3mTunnelCorner,Alpha.20.0.122,Replaced,
concreteWedge,concreteShapes:wedge60,Alpha.20.0.122,Replaced,
concreteWedgeCNRInsideBottom,concreteShapes:wedge60InsideCorner,Alpha.20.0.122,Replaced,
concreteWedgeCNRInsideSteepBase,concreteShapes:wedgeInsideCornerTop,Alpha.20.0.122,Replaced,
concreteWedgeCNRInsideSteepTop,concreteShapes:wedgeInsideCornerBase,Alpha.20.0.122,Replaced,
concreteWedgeCNRInsideTop,concreteShapes:wedge60InsideCorner2,Alpha.20.0.122,Replaced,
concreteWedgeCNRSteepBase,concreteShapes:wedge60TipCornerBase,Alpha.20.0.122,Replaced,
concreteWedgeCNRSteepTop,concreteShapes:wedge60TipCornerTop,Alpha.20.0.122,Replaced,
concreteWedgeIncline,concreteShapes:wedge60Incline,Alpha.20.0.122,Replaced,
concreteWedgeInclineCornerTop,concreteShapes:wedgeInclineCornerTop,Alpha.20.0.122,Replaced,
concreteWedgeNarrowBottomTrim,concreteShapes:wedgeNarrowBottomTrimLeft,Alpha.20.0.122,Replaced,
concreteWedgeNarrowBottomTrim2,concreteShapes:wedgeNarrowBottomTrimRight,Alpha.20.0.122,Replaced,
concreteWedgeNarrowHigh,concreteShapes:wedgeNarrowHigh,Alpha.20.0.122,Replaced,
concreteWedgeNarrowHighTrim2Sided,concreteShapes:wedgeNarrowHighLeftTrim2Sided,Alpha.20.0.122,Replaced,
concreteWedgeNarrowHighTrim2Sided2,concreteShapes:wedgeNarrowHighRightTrim2Sided,Alpha.20.0.122,Replaced,
concreteWedgeNarrowLow,concreteShapes:wedgeNarrowLow,Alpha.20.0.122,Replaced,
concreteWedgeNarrowLowTrim2Sided,concreteShapes:wedgeNarrowLowLeftTrim2Sided,Alpha.20.0.122,Replaced,
concreteWedgeNarrowLowTrim2Sided2,concreteShapes:wedgeNarrowLowRightTrim2Sided,Alpha.20.0.122,Replaced,
concreteWedgeNarrowMid,concreteShapes:wedgeNarrowMid,Alpha.20.0.122,Replaced,
concreteWedgeNarrowMidTrim2Sided,concreteShapes:wedgeNarrowMidLeftTrim2Sided,Alpha.20.0.122,Replaced,
concreteWedgeNarrowMidTrim2Sided2,concreteShapes:wedgeNarrowMidRightTrim2Sided,Alpha.20.0.122,Replaced,
concreteWedgeNarrowTip,concreteShapes:wedgeNarrowTip,Alpha.20.0.122,Replaced,
concreteWedgeNarrowTipTrim2Sided,concreteShapes:wedgeNarrowTipLeftTrim2Sided,Alpha.20.0.122,Replaced,
concreteWedgeNarrowTipTrim2Sided2,concreteShapes:wedgeNarrowTipRightTrim2Sided,Alpha.20.0.122,Replaced,
concreteWedgeStairs,concreteShapes:wedgeStairs,Alpha.20.0.122,Replaced,
concreteWedgeTip,concreteShapes:wedge60Tip,Alpha.20.0.122,Replaced,
concreteWedgeTipCNRFullBottom,concreteShapes:wedge60TipCorner,Alpha.20.0.122,Replaced,
concreteWedgeTipCNRFullTop,concreteShapes:wedge60Corner,Alpha.20.0.122,Replaced,
concreteWedgeTipStairs,concreteShapes:wedgeTipStairs,Alpha.20.0.122,Replaced,
concreteWindowArch3MCNR,concreteShapes:arch3mWindowCorner,Alpha.20.0.122,Replaced,
concreteWindowArch3MCTR,concreteShapes:arch3mCenterWindow,Alpha.20.0.122,Replaced,
concreteWindowArch3MTip,concreteShapes:arch3mWindowTip,Alpha.20.0.122,Replaced,
corrugatedMetal2PlateCorner,corrugatedMetalShapes:plateCorner,Alpha.20.0.122,Replaced,
corrugatedMetal2PlateCornerHalf,corrugatedMetalShapes:plateCornerHalf,Alpha.20.0.122,Replaced,
corrugatedMetalBlock,corrugatedMetalShapes:cube,Alpha.20.0.122,Replaced,
corrugatedMetalBlockTrimCNRRound,corrugatedMetalShapes:cubeTrimCornerRound,Alpha.20.0.122,Replaced,
corrugatedMetalBlockTrimHalfSplit,corrugatedMetalShapes:cubeTrimHalfSplit,Alpha.20.0.122,Replaced,
corrugatedMetalBlockTrimHalfSplit4Sided,corrugatedMetalShapes:cubeTrimHalfSplit4Sided,Alpha.20.0.122,Replaced,
corrugatedMetalBlockTrimHalfSplitDiagonal,corrugatedMetalShapes:cubeTrimHalfSplitDiagonal,Alpha.20.0.122,Replaced,
corrugatedMetalBlockTrimQuarterCornerInside,corrugatedMetalShapes:cubeTrimQuarterCornerInside,Alpha.20.0.122,Replaced,
corrugatedMetalBlockTrimQuarterCornerInsideTriangle,corrugatedMetalShapes:cubeTrimQuarterCornerInsideTriangle,Alpha.20.0.122,Replaced,
corrugatedMetalBlockTrimQuarterCornerOutside,corrugatedMetalShapes:cubeTrimQuarterCornerOutside,Alpha.20.0.122,Replaced,
corrugatedMetalBlockTrimQuarterCornerOutside2Sided,corrugatedMetalShapes:cubeTrimQuarterCornerOutsideTwoSided,Alpha.20.0.122,Replaced,
corrugatedMetalBlockTrimQuarterEdge,corrugatedMetalShapes:cubeTrimQuarterEdge,Alpha.20.0.122,Replaced,
corrugatedMetalBlockTrimQuarterEdge2Sided,corrugatedMetalShapes:cubeTrimQuarterEdgeTwoSided,Alpha.20.0.122,Replaced,
