116	80
trashPile02	1755	405
trashPile03	1872	405
trashPile04	1989	405
trashPile05	2106	405
trashPile06	2223	405
trashPile07	2340	405
trashPile08	2457	405
trashPile09	2574	405
fridge	2691	405
gasPump	2808	405
wallTorch	2925	405
graveStone01	3042	405
graveStone02	3159	405
graveStone03	3276	405
graveStone04	3393	405
graveStone05	3510	405
graveStone06	3627	405
graveStone07	3744	405
graveStone08	3861	405
boardedWindows	3978	405
corpseLoot01	0	486
tubeDrywall	117	486
poleTop01	234	486
streetLight01	351	486
airConditioner	468	486
deskSafe	585	486
wallSafe	702	486
corpseLoot02	819	486
mailBox01	936	486
mailBox02	1053	486
mailBox03	1170	486
oilBarrel	1287	486
cinderBlocks01	1404	486
solidWoodFrame	1521	486
wedge60CurbWithGrass	1638	486
tubeConcrete	1755	486
tubeHalfConreteNoDistort	1872	486
decals1	1989	486
solidWoodRampFrame	2106	486
tnt	2223	486
barrelSmokeTest	2340	486
tileFloor5	2457	486
reinforcedMetalSiding	2574	486
metalTrussing	2691	486
smokestackRed	2808	486
smokestackRedCube	2925	486
smokestackRedWedge	3042	486
ladderMetal	3159	486
tileIndustrialDecayedBrick	3276	486
plateBlockTileIndustrial	3393	486
concreteTrimWedge	3510	486
concreteTrimCorner	3627	486
glassIndustrial	3744	486
thinMetalPlate	3861	486
lootMP	3978	486
wastelandCurb	0	567
wastelandCurbCorner	117	567
sidewalkHalf	234	567
metalBillboardTrussing	351	567
tubeConcretePaintedBlue	468	567
tubeConcretePaintedOrange	585	567
corrugatedDoorCentered	702	567
keystone	819	567
trapSpikes01	936	567
trapSpikesDamage01	1053	567
trapSpikesDamage02	1170	567
trapSpikesDamage03	1287	567
trapSpikesDamage04	1404	567
trapSpikesDamage05	1521	567
steelWall	1638	567
cornerFullWedgeCorregatedMetal	1755	567
cinderBlocks02	1872	567
scrapMetalPile	1989	567
trunkPineTip	2106	567
insideCornerWedgeCorregatedMetal	2223	567
potatoPlant	2340	567
bedRoll01_1	2457	567
bedRoll01_2	2574	567
backpack01	2691	567
backpack02	2808	567
backpack03	2925	567
duffle01	3042	567
sportsBag01	3159	567
sportsBag02	3276	567
purse01	3393	567
barbedFence	3510	567
mineCandyTin	3627	567
mineHubcap	3744	567
mineAirFilter	3861	567
toilet01	3978	567
toilet02	0	648
toilet03	117	648
bed01	234	648
bed01Frame	351	648
mattress	468	648
mattressFlat	585	648
driftwood	702	648
driftwood2	819	648
signarrowheadapache	936	648
signaz260eastspeed65	1053	648
signaz260west	1170	648
signaz260westspeed65	1287	648
signaz73north	1404	648
signaz73northspeed65	1521	648
signaz73south	1638	648
signaz73southspeed65	1755	648
signcamping	1872	648
signcampfish	1989	648
signdestinationseast	2106	648
signdestinationswest	2223	648
signinfocenter	2340	648
signnohazardouswaste	2457	648
signrightonly	2574	648
signroadwork	2691	648
signroughsurface	2808	648
signschoolzone	2925	648
signslow	3042	648
signspeed25	3159	648
signspeed25notrucks	3276	648
signspeed35	3393	648
signspeed45	3510	648
signspeed55	3627	648
signspeed65	3744	648
signstop	3861	648
signstop4way	3978	648
signstreetapacheaz260	0	729
signstreetbelllake	117	729
signstreetcoronado	234	729
signstreetcoronadocourtland	351	729
signstreetcourtlandapache	468	729
signstreetcourtlandaz260	585	729
signstreetcourtlandbell	702	729
signstreetcourtlandhuenink	819	729
signstreetcourtlandmaple	936	729
signstreetcourtlandtran	1053	729
signstreetdavis	1170	729
signstreetessig	1287	729
signstreetlangtran	1404	729
signstreetprivate	1521	729
signstreettran	1638	729
signstreetcourtlandaz2602	1755	729
signNationalPark	1872	729
signSpillwayLake	1989	729
signAnselAdamsRiver	2106	729
signStreetMaple	2223	729
rebar	2340	729
chair01	2457	729
desk01	2574	729
desk02	2691	729
officeChair01	2808	729
storeShelving01	2925	729
storeShelving01Double	3042	729
storeShelving01Top	3159	729
storeShelving01TopDouble	3276	729
cinderBlocks03	3393	729
birdnest	3510	729
endTable	3627	729
endTableLamp	3744	729
sectionalArm2	3861	729
sectionalCorner2	3978	729
sectionalMiddle2	0	810
tv	117	810
tv_fallen	234	810
tv_large_1	351	810
tv_large_2	468	810
forge	585	810
munitionsBox	702	810
ironBars	819	810
MountainPine6m	936	810
MountainPine8m	1053	810
MountainPine13m	1170	810
MountainPine16m	1287	810
MountainPine19m	1404	810
MountainPine20m	1521	810
MountainPineDry	1638	810
Birch10m	1755	810
Birch12m	1872	810
Birch15m	1989	810
DeadShrub	2106	810
Maple6m	2223	810
Maple13m	2340	810
Maple14m	2457	810
Maple15m	2574	810
Maple16m	2691	810
Maple17m	2808	810
Bush1	2925	810
BurntPine01	3042	810
BurntPine02	3159	810
BurntPine03	3276	810
BurntPine04	3393	810
DeadTree01	3510	810
DeadTree02	3627	810
brick_decayed_broke1	3744	810
brick_decayed_broke2	3861	810
brick_decayed_broke3	3978	810
WinterEverGreen	0	891
WinterPine01	117	891
Stump	234	891
WinterPine02	351	891
WinterPine03	468	891
desertShrub	585	891
backpackDropped	702	891
concreteDestroyed1	819	891
concreteDestroyed2	936	891
concreteDestroyed3	1053	891
concreteDestroyed4	1170	891
concreteDestroyed5	1287	891
concreteDestroyed6	1404	891
concreteDestroyed7	1521	891
concreteDestroyed8	1638	891
concreteDestroyed9	1755	891
tanBrickDecayedBroke1	1872	891
tanBrickDecayedBroke2	1989	891
tanBrickDecayedBroke3	2106	891
paintedBrickBroke1	2223	891
paintedBrickBroke2	2340	891
paintedBrickBroke3	2457	891
concreteTrim2Broke1	2574	891
concreteTrim2Broke2	2691	891
concreteTrim2Broke3	2808	891
concreteTrim2Broke4	2925	891
whiteSidingWoodPanelBurnt1	3042	891
whiteSidingWoodPanelBurnt2	3159	891
whiteSidingWoodPanelBurnt3	3276	891
whiteSidingWoodPanelBurnt4	3393	891
whiteSidingWoodPanelBurnt5	3510	891
whiteSidingWoodPanelBurnt6	3627	891
whiteSidingWoodPanelBurnt7	3744	891
faucet02	3861	891
faucet04	3978	891
faucetBrass02	0	972
faucetBrass04	117	972
fileCabinet	234	972
cooler	351	972
schoolDesk	468	972
lockers	585	972
fountain	702	972
gunSafe	819	972
graniteSink	936	972
rockResource	1053	972
secureDoorWooden	1170	972
wedgeBlueMetalRoof	1287	972
BlueMetalRoof	1404	972
blueDrywall	1521	972
brickPaintedTanDrywall	1638	972
brickPaintedTanBaseboard	1755	972
brickPaintedBlueDrywall	1872	972
secureGunSafe	1989	972
secureStorageChest	2106	972
rockResource02	2223	972
secureReinforcedDoorWooden	2340	972
metalReinforcedDoorWooden	2457	972
rockResourceBroke1	2574	972
rockResourceBroke2	2691	972
rockResource02Broke1	2808	972
rockResource02Broke2	2925	972
rockResource02Broke3	3042	972
window02Frame	3159	972
window02	3276	972
glass	3393	972
cactus01	3510	972
cactus02	3627	972
cactus03	3744	972
cactus04	3861	972
cactus05	3978	972
cactus06	0	1053
plantedMountainPine1m	117	1053
plantedMountainPine6m	234	1053
plantedMountainPine8m	351	1053
plantedMountainPine13m	468	1053
plantedMountainPine16m	585	1053
plantedMountainPine19m	702	1053
plantedMaple1m	819	1053
plantedMaple6m	936	1053
plantedMaple13m	1053	1053
plantedMaple15m	1170	1053
plantedMaple17m	1287	1053
adobeWhite	1404	1053
clayRoof	1521	1053
clayRoofWedge	1638	1053
clayRoofCorner	1755	1053
adobeWhitePole	1872	1053
adobePeachPole	1989	1053
adobePeachTube	2106	1053
adobeWhiteDrywall	2223	1053
adobeWhiteDrywallBaseboard	2340	1053
adobePeachDrywall	2457	1053
adobePeachDrywallBaseboard	2574	1053
cremeDrywall	2691	1053
cremeDrywallBaseboard	2808	1053
stairsTileFloor5	2925	1053
asphaltDrywall	3042	1053
GoreBlock1Prefab	3159	1053
GoreBlock1BonesPrefab	3276	1053
reinforcedTrunkPineTip	3393	1053
reinforcedMetalTrunkPineTip	3510	1053
reinforcedWoodPillar	3627	1053
reinforcedMetalWoodPillar	3744	1053
dropCeiling02	3861	1053
cabinetOldFiller	3978	1053
cabinetFiller	0	1134
cabinetOldTopPlate	117	1134
cabinetTopPlate	234	1134
plantedCotton	351	1134
cotton	468	1134
wallPlasterBaseboard2	585	1134
wallPlasterMiddle2	702	1134
wallPlasterTop2	819	1134
WedgedCornerFullOldWood	936	1134
WedgedInnerFullDrywall	1053	1134
concreteBarrier	1170	1134
plateCenteredDrywall	1287	1134
dropCeiling2RoofAsphalt	1404	1134
railingBlack	1521	1134
stairsTileFloor3	1638	1134
bookStoreBookcase	1755	1134
concreteTrim2TanDrywall	1872	1134
drywallTrim2Sides	1989	1134
cremeBacksplash	2106	1134
drywallOldwood	2223	1134
insideCornerWedgeClayRoof	2340	1134
cremeDrywallBaseboard2Sides	2457	1134
scrapIronWall	2574	1134
reinforcedScrapIronWall	2691	1134
bookcase	2808	1134
coffeeSprout	2925	1134
coffeeGrowing	3042	1134
coffeePlant	3159	1134
goldenrodSprout	3276	1134
goldenrodGrowing	3393	1134
goldenrod	3510	1134
brownGrassDiagonal	3627	1134
tallGrassDiagonal	3744	1134
trunkPine	3861	1134
plainsGrassDiagonal	3978	1134
eighthBlock	0	1215
quarterBlock	117	1215
halfBlockConcrete	234	1215
cornerWedgeConcrete	351	1215
pyramidConcrete	468	1215
concreteBlock	585	1215
cornerFullWedgeConcrete	702	1215
poleBlock	819	1215
plateBlock	936	1215
panelingBurntStairs	1053	1215
cobblestone	1170	1215
garageDoor1Centered	1287	1215
poleBlockWroughtIron	1404	1215
ladder	1521	1215
wedgeWoodWhiteShinglesAsphalt	1638	1215
angledOldWoodSupport	1755	1215
wedgeOldWoodShinglesOld	1872	1215
wedgeAwning1	1989	1215
Awning1	2106	1215
logCabin	2223	1215
shinglesWood	2340	1215
wedgeWoodShingles	2457	1215
metalRivet	2574	1215
wedgeMetalRivet	2691	1215
curtain_top1	2808	1215
sidingBluePlasterBaseboard	2925	1215
sidingGreenPlasterBaseboard	3042	1215
sidingWhitePlasterBaseboard	3159	1215
sidingYellowPlasterBaseboard	3276	1215
sidingTanPlasterBaseboard	3393	1215
brickPlasterBaseboard	3510	1215
pyramidAwning1	3627	1215
gableAwning1	3744	1215
wedge60EndShinglesAspaltBlue	3861	1215
wedgeSidingWhiteBurnt01	3978	1215
stairsWroughtIron	0	1296
wedge60TipShinglesAspaltBlue	117	1296
panelingBurnt	234	1296
cornerWedgeCorregatedMetal	351	1296
PlainsTree	468	1296
bridgeAsphalt	585	1296
bridgeMetalRivet	702	1296
bridgeConcrete	819	1296
bridgeOldWood	936	1296
concreteTrimTanDrywall	1053	1296
dropCeilingRedWoodTrim	1170	1296
waterMovingBucket	1287	1296
waterStaticBucket	1404	1296
waterMoving	1521	1296
water	1638	1296
insideCornerWedgeAsphaltShingle	1755	1296
gableBrickModern	1872	1296
reinforcedCobblestone	1989	1296
halfBlockOldWood	2106	1296
tanStucco	2223	1296
tanStuccoPlasterBaseboard	2340	1296
stairsQuarterFilledWood	2457	1296
stairsQuarterFilledConcrete	2574	1296
stairsSmallRichwood	2691	1296
stairsStone	2808	1296
rug01	2925	1296
cabinet	3042	1296
powerPoleQuarter	3159	1296
fridgeTop	3276	1296
fridgeBottom	3393	1296
Carpet1	3510	1296
tanStuccotileFloor1	3627	1296
adobeTan	3744	1296
adobeTanRamp	3861	1296
adobePeach	3978	1296
adobeWhiteRampTrim	0	1377
adobeWhiteRamp	117	1377
adobeWhiteTrimCorner	234	1377
adobeWhiteInsideTrimCorner	351	1377
plantYucca	468	1377
plantAloe	585	1377
shinglesOld	702	1377
barnWood	819	1377
corregatedMetal2	936	1377
hayBale	1053	1377
doNotUse	1170	1377
PlainsTree2	1287	1377
greenBrownGrassDiagonal	1404	1377
wedgeTanDrywallBaseboard	1521	1377
wedgeTanDrywall	1638	1377
drywallCeiling	1755	1377
deadPineLeaf	1872	1377
sidewalkFull	1989	1377
lootForest	2106	1377
lootHouse	2223	1377
lootStreet	2340	1377
lootYard	2457	1377
angledPanelingBurntSupport	2574	1377
DrywallIndustrialTile	2691	1377
lootGarage	2808	1377
plantChrysanthemum	2925	1377
plant02	3042	1377
wedge60Curb	3159	1377
corregatedMetalWedge	3276	1377
wedge60CurbCorner	3393	1377
cardboardBox	3510	1377
woodFence	3627	1377
woodFenceOldFarm	3744	1377
whitePicketFence	3861	1377
wroughtIronFence	3978	1377
tubePanelingBurntFull	0	1458
tire	117	1458
plantedCornSeed	234	1458
growableCornTop1	351	1458
growableCornTop2	468	1458
grownUpCornStalk1	585	1458
grownUpCornStalk2	702	1458
grownUpCornTop1	819	1458
grownUpCornTop2	936	1458
painting02	1053	1458
tileFloor4	1170	1458
oldStuccoWoodShake	1287	1458
oldStuccoWoodShakeTip	1404	1458
awning1cornerFullWedge	1521	1458
awning2cornerFullWedge	1638	1458
awning2WedgedInner	1755	1458
awning3WedgedInner	1872	1458
tubeDrywallBaseboard	1989	1458
tubepowerPoleWoodFull	2106	1458
tubeMetal1NoDistort	2223	1458
tubeMetal2NoDistort	2340	1458
tubeHalfPoleWoodFull	2457	1458
tubeHalfMetal1	2574	1458
tubeHalfMetal2	2691	1458
decals2	2808	1458
decals3	2925	1458
corrugatedMetalThin	3042	1458
smokestackWhite	3159	1458
smokestackWhiteCube	3276	1458
smokestackWhiteWedge	3393	1458
ventDuctWedge	3510	1458
chaulkboard	3627	1458
concreteTrim2Wedge	3744	1458
concreteTrim3TanDrywall	3861	1458
wedge60EndGravel	3978	1458
wedge60EndBarnWood	0	1539
wedge60EndBrickMetal	117	1539
redWoodPillar	234	1539
wedgeWoodShinglesOld	351	1539
wedgeWoodShinglesAlsphalt	468	1539
cabinetOldSink	585	1539
flagstoneDrywall	702	1539
brickModernTanDrywall	819	1539
brickModernTanBaseboard	936	1539
flagstone	1053	1539
brickPaver	1170	1539
flagstoneDrywallBaseboard	1287	1539
brickAsphalt	1404	1539
planks4	1521	1539
woodFloor01	1638	1539
brickDecayed	1755	1539
brickDecayedAsphalt	1872	1539
tileIndustrial	1989	1539
brickDecayedTan	2106	1539
concreteTrim2	2223	1539
concreteTrim3	2340	1539
concreteTrim	2457	1539
halfBlockGravel	2574	1539
graveStone1	2691	1539
halfBlockConcreteAsphalt	2808	1539
halfBlockMetalAsphalt	2925	1539
halfBlockBrickMetal	3042	1539
wedgeWoodWhiteShinglesOld	3159	1539
wedgeBarnShingles	3276	1539
wedgeWoodWhiteShinglesAlsphalt	3393	1539
wedgeBrickModern01Shingles	3510	1539
wedgeFlagstoneShingles	3627	1539
wedgeDrywallCeiling	3744	1539
cornerHouseShinglesOld	3861	1539
cornerHouseShinglesAsphalt	3978	1539
cornerHouseShinglesWood	0	1620
pyramidShinglesOld	117	1620
pyramidShinglesAsphalt	234	1620
pyramidShinglesWood	351	1620
roofAsphalt	468	1620
dropCeilingRoofAsphalt	585	1620
concreteTileGreen	702	1620
concreteTileBrown	819	1620
cornerFullWedgeShinglesOld	936	1620
cornerFullWedgeAsphaltShingles	1053	1620
cornerFullWedgeShinglesAsphalt	1170	1620
woodShinglesCorner	1287	1620
poleBlockOldWood	1404	1620
poleBlockWoodPainted1	1521	1620
woodPainted3	1638	1620
wedgeWoodWhiteShinglesWood	1755	1620
wedgeOldStuccoWoodShake	1872	1620
wedgeOldWoodShinglesAsphalt	1989	1620
wedgeAwning2	2106	1620
wedgeAwning3	2223	1620
Awning2	2340	1620
Awning3	2457	1620
wedgeCabinShinglesWood	2574	1620
wedgeCabinOldWood	2691	1620
wedgeCabinFlagstone	2808	1620
wedgeHouseShinglesWood	2925	1620
wedgeHouseShinglesAsphalt	3042	1620
wedgeHouseShinglesOld	3159	1620
wedgeHouseWoodWhite	3276	1620
WroughtIronMetal	3393	1620
CorregatedMetal	3510	1620
wedgeWroughtIron	3627	1620
curtain_bottom1	3744	1620
sidingBluePlasterMiddle	3861	1620
sidingBluePlasterTop	3978	1620
sidingBlueOldWood	0	1701
sidingGreenPlasterMiddle	117	1701
sidingGreenPlasterTop	234	1701
sidingGreenOldWood	351	1701
sidingWhitePlasterMiddle	468	1701
sidingWhitePlasterTop	585	1701
sidingWhiteOldWood	702	1701
sidingWhiteBurnt	819	1701
sidingYellowPlasterMiddle	936	1701
sidingYellowPlasterTop	1053	1701
sidingYellowOldWood	1170	1701
sidingTanPlasterMiddle	1287	1701
sidingTanPlasterTop	1404	1701
sidingTanOldWood	1521	1701
brickPlasterMiddle	1638	1701
brickPlasterTop	1755	1701
brickOldWood	1872	1701
pyramidAwning2	1989	1701
pyramidAwning3	2106	1701
gableAwning2	2223	1701
gableAwning3	2340	1701
wedge60EndShinglesAsphaltGreen	2457	1701
wedge60EndShinglesAsphaltWhite	2574	1701
wedge60EndShinglesAsphaltYellow	2691	1701
wedge60EndShinglesAsphaltTan	2808	1701
wedge60EndShinglesAsphaltBurnt	2925	1701
wedgeSidingWhiteBurnt02	3042	1701
alspaltSlope	3159	1701
gravelSlope	3276	1701
brickDecayedSlope	3393	1701
cobblestoneWedge	3510	1701
brickDecayedTanSlope	3627	1701
brickPaintedSlope	3744	1701
stairsMetalRivet	3861	1701
wedge60TipShinglesAsphaltGreen	3978	1701
wedge60TipShinglesAsphaltWhite	0	1782
wedge60TipShinglesAsphaltYellow	117	1782
wedge60TipShinglesAsphaltTan	234	1782
wedge60TipShinglesAsphaltBurnt	351	1782
insideCornerWedgeShinglesOld	468	1782
insideCornerWedgeShinglesAsphalt	585	1782
insideCornerWedgeShinglesWood	702	1782
insideCornerWedgeShinglesWood2	819	1782
insideCornerWedgeOldWood	936	1782
gableFlagstone	1053	1782
gableWhiteWoodShinglesOld	1170	1782
gableWhiteWoodShinglesAsphalt	1287	1782
gableCorregatedMetal	1404	1782
gableWhiteWoodShinglesWood	1521	1782
woodShinglesGable	1638	1782
tanStuccoPlasterMiddle	1755	1782
tanStuccoPlasterTop	1872	1782
tanStuccoOldWood	1989	1782
stairsWoodPainted1	2106	1782
stairsCarpet1	2223	1782
stairsCarpet2	2340	1782
stairsPavers	2457	1782
stairsConcrete	2574	1782
stairstileFloor4	2691	1782
cabinetOldBottom	2808	1782
cabinetOldTop	2925	1782
wallOven	3042	1782
cabinetTop	3159	1782
Carpet2	3276	1782
Carpet2WoodPainted2	3393	1782
tanStuccotileFloor2	3510	1782
tanStuccoCarpet1	3627	1782
tanStuccoCarpet2	3744	1782
OldWoodWoodPainted2	3861	1782
ShinglesAsphaultFlat	3978	1782
concreteBlueDrywall	0	1863
woodPainted1	117	1863
woodPainted1ShinglesOld	234	1863
woodPainted2	351	1863
tileFloor2WoodPainted2	468	1863
tileFloor1WoodPainted2	585	1863
Carpet1WoodPainted2	702	1863
scrapMetalWall	819	1863
ventDuctBlock	936	1863
railingMetal	1053	1863
barbedWire	1170	1863
cable1	1287	1863
garageDoor1	1404	1863
platePanelingBurnt	1521	1863
plateOldWood	1638	1863
fenceWood	1755	1863
cobblestoneWedgeBroke01	1872	1863
cobblestoneWedgeBroke02	1989	1863
shutters1	2106	1863
plywoodOsb	2223	1863
plywoodOsbCentered	2340	1863
drywall	2457	1863
drywallTrim	2574	1863
dropCeiling	2691	1863
rug01Drywall	2808	1863
tileFloor3Drywall	2925	1863
carpet3Drywall	3042	1863
tileBackspashDrywall	3159	1863
snowyDeadBush	3276	1863
BaseboardIndustrialTile	3393	1863
brickModernTanIndustrialTile	3510	1863
yellowflower	3627	1863
wedge60EndConcrete	3744	1863
sidewalkWedge60	3861	1863
wedge60EndAsphalt	3978	1863
wedge60EndWoodOld	0	1944
sidewalkCurb	117	1944
wedge60TipConcrete	234	1944
wedge60TipGravel	351	1944
wedge60TipBarnWood	468	1944
wedge60TipAsphalt	585	1944
wedge60TipWoodOld	702	1944
wedge60TipBrickMetal	819	1944
barnWedgeMetalRoof	936	1944
barnWedgeWoodRoof	1053	1944
railingWoodWhite	1170	1944
railingOldWood	1287	1944
railingWroughtIron	1404	1944
cottonYoung	1521	1944
concreteTrim2TanBaseboard	1638	1944
concreteTrim2IndustrialTile	1755	1944
concreteTrim3TanBaseboard	1872	1944
concreteTrim3IndustrialTile	1989	1944
concreteTrimTanBaseboard	2106	1944
concreteTrimIndustrialTile	2223	1944
concreteTanDrywall	2340	1944
concreteTanBaseboard	2457	1944
concreteIndustrialTile	2574	1944
glassBusiness	2691	1944
glassBusinessCentered	2808	1944
glassBusinessBlock	2925	1944
cabinetFiller2	3042	1944
cabinetOldFiller2	3159	1944
commercialDoor1_v1	3276	1944
commercialDoor1_v2	3393	1944
commercialDoor1_v3	3510	1944
commercialDoor2_v1	3627	1944
commercialDoor2_v2	3744	1944
commercialDoor2_v3	3861	1944
commercialDoor3_v1	3978	1944
commercialDoor3_v2	0	2025
commercialDoor3_v3	117	2025
commercialDoor4_v1	234	2025
commercialDoor4_v2	351	2025
commercialDoor4_v3	468	2025
houseFrontDoor1_v1	585	2025
houseFrontDoor1_v2	702	2025
houseFrontDoor1_v3	819	2025
supplyCrateShamway	936	2025
lootCrateShamway	1053	2025
sidingWhiteBurntPlateCentered	1170	2025
woodBarricade	1287	2025
woodBarricadeCentered	1404	2025
woodBarricade02	1521	2025
woodBarricade02Centered	1638	2025
window02Broken01	1755	2025
window02Broken02	1872	2025
window02Broken03	1989	2025
window03Broke1	2106	2025
window03Broke2	2223	2025
window03Broke3	2340	2025
window03Broke4	2457	2025
window03	2574	2025
window03Frame	2691	2025
glassIndustrial02	2808	2025
glassIndustrial02Broken01	2925	2025
glassIndustrial02Broken02	3042	2025
miniblindTop	3159	2025
miniblindBottom	3276	2025
window04Frame	3393	2025
window04	3510	2025
doorFrameWhite1	3627	2025
doorFrameWhite2	3744	2025
doorFrameMetal1	3861	2025
doorFrameMetal2	3978	2025
doorFrameWhiteBoarded1	0	2106
doorFrameWhiteBoarded2	117	2106
doorFrameMetalBoarded1	234	2106
doorFrameMetalBoarded2	351	2106
storageAmmo	468	2106
storageBuilding	585	2106
storageExplosives	702	2106
storageFood	819	2106
storageWeapons	936	2106
houseFrontDoor2_v1	1053	2106
houseFrontDoor2_v2	1170	2106
houseFrontDoor2_v3	1287	2106
gasSign	1404	2106
gasSignLit	1521	2106
gasSignWall	1638	2106
gasSignWallLit	1755	2106
gasSignLarge	1872	2106
gasSignLargeLit	1989	2106
gasSignWallLarge	2106	2106
gasSignWallLargeLit	2223	2106
gunStoreSign	2340	2106
gunStoreSignLit	2457	2106
gunStoreSignWall	2574	2106
gunStoreSignWallLit	2691	2106
gunStoreSignLarge	2808	2106
gunStoreSignLargeLit	2925	2106
gunStoreSignWallLarge	3042	2106
gunStoreSignWallLargeLit	3159	2106
supplyCrateShotgunMessiah	3276	2106
lootCrateShotgunMessiah	3393	2106
steelDoor1_v1	3510	2106
