116	80
trash_can01	232	240
bin	348	240
nightstand	464	240
suitcase	580	240
storageChest	696	240
trashPile01	812	240
trashPile02	928	240
trashPile03	1044	240
trashPile04	1160	240
trashPile05	1276	240
trashPile06	1392	240
trashPile07	1508	240
trashPile08	1624	240
trashPile09	1740	240
fridge	1856	240
gasPump	1972	240
wallTorch	2088	240
graveStone01	2204	240
graveStone02	2320	240
graveStone03	2436	240
graveStone04	2552	240
graveStone05	2668	240
graveStone06	2784	240
graveStone07	2900	240
graveStone08	3016	240
boardedWindows	3132	240
corpseLoot01	3248	240
tubeDrywall	3364	240
poleTop01	3480	240
streetLight01	3596	240
airConditioner	3712	240
deskSafe	3828	240
wallSafe	3944	240
corpseLoot02	0	320
mailBox01	116	320
mailBox02	232	320
mailBox03	348	320
DeveloperChest	464	320
oilBarrel	580	320
cinderBlocks01	696	320
solidWoodFrame	812	320
wedge60CurbWithGrass	928	320
tubeConcrete	1044	320
tubeHalfConreteNoDistort	1160	320
decals	1276	320
solidWoodRampFrame	1392	320
tnt	1508	320
barrelSmokeTest	1624	320
tileFloor5	1740	320
reinforcedMetalSiding	1856	320
metalTrussing	1972	320
smokestackRed	2088	320
smokestackRedCube	2204	320
smokestackRedWedge	2320	320
ladderMetal	2436	320
concreteReinforced	2552	320
tileIndustrialDecayedBrick	2668	320
plateBlockTileIndustrial	2784	320
concreteTrimWedge	2900	320
concreteTrimCorner	3016	320
glassIndustrial	3132	320
thinMetalPlate	3248	320
hive	3364	320
lootMP	3480	320
wastelandCurb	3596	320
wastelandCurbCorner	3712	320
sidewalkHalf	3828	320
metalBillboardTrussing	3944	320
tubeConcretePaintedBlue	0	400
tubeConcretePaintedOrange	116	400
corrugatedDoorCentered	232	400
keystone	348	400
trapSpikes01	464	400
trapSpikesDamage01	580	400
trapSpikesDamage02	696	400
trapSpikesDamage03	812	400
trapSpikesDamage04	928	400
trapSpikesDamage05	1044	400
steelWall	1160	400
cornerFullWedgeCorregatedMetal	1276	400
cinderBlocks02	1392	400
scrapMetalPile	1508	400
trunkPineTip	1624	400
insideCornerWedgeCorregatedMetal	1740	400
potatoPlant	1856	400
bedRoll01_1	1972	400
bedRoll01_2	2088	400
backpack01	2204	400
backpack02	2320	400
backpack03	2436	400
duffle01	2552	400
sportsBag01	2668	400
sportsBag02	2784	400
purse01	2900	400
barbedFence	3016	400
mineCandyTin	3132	400
mineHubcap	3248	400
mineAirFilter	3364	400
toilet01	3480	400
toilet02	3596	400
toilet03	3712	400
pipeGreen	3828	400
pipeGreen3Way	3944	400
pipeGreen3WayVertical	0	480
pipeGreen3WayVertical2	116	480
pipeGreenCap	232	480
pipeGreenCurve	348	480
pipeGreenCurveVertical	464	480
pipeGreenFlange	580	480
pipeGreenFlangeVertical	696	480
pipeGreenValve	812	480
pipeGreenValveVertical	928	480
pipeGreenVertical	1044	480
pipeRed	1160	480
pipeRed3Way	1276	480
pipeRed3WayVertical	1392	480
pipeRed3WayVertical2	1508	480
pipeRedCap	1624	480
pipeRedCurve	1740	480
pipeRedCurveVertical	1856	480
pipeRedFlange	1972	480
pipeRedFlangeVertical	2088	480
pipeRedValve	2204	480
pipeRedValveVertical	2320	480
pipeRedVertical	2436	480
pipeGreenCurveVertical2	2552	480
pipeRedCurveVertical2	2668	480
bed01	2784	480
bed01Frame	2900	480
mattress	3016	480
mattressFlat	3132	480
mattressHalf	3248	480
driftwood	3364	480
driftwood2	3480	480
signarrowheadapache	3596	480
signaz260eastspeed65	3712	480
signaz260west	3828	480
signaz260westspeed65	3944	480
signaz73north	0	560
signaz73northspeed65	116	560
signaz73south	232	560
signaz73southspeed65	348	560
signcamping	464	560
signcampfish	580	560
signdestinationseast	696	560
signdestinationswest	812	560
signinfocenter	928	560
signnohazardouswaste	1044	560
signrightonly	1160	560
signroadwork	1276	560
signroughsurface	1392	560
signschoolzone	1508	560
signslow	1624	560
signspeed25	1740	560
signspeed25notrucks	1856	560
signspeed35	1972	560
signspeed45	2088	560
signspeed55	2204	560
signspeed65	2320	560
signstop	2436	560
signstop4way	2552	560
signstreetapacheaz260	2668	560
signstreetbelllake	2784	560
signstreetcoronado	2900	560
signstreetcoronadocourtland	3016	560
signstreetcourtlandapache	3132	560
signstreetcourtlandaz260	3248	560
signstreetcourtlandbell	3364	560
signstreetcourtlandhuenink	3480	560
signstreetcourtlandmaple	3596	560
signstreetcourtlandtran	3712	560
signstreetdavis	3828	560
signstreetessig	3944	560
signstreetlangtran	0	640
signstreetprivate	116	640
signstreettran	232	640
signstreetcourtlandaz2602	348	640
signNationalPark	464	640
signSpillwayLake	580	640
signAnselAdamsRiver	696	640
signStreetMaple	812	640
rebar	928	640
chair01	1044	640
desk01	1160	640
desk02	1276	640
officeChair01	1392	640
storeShelving01	1508	640
storeShelving01Double	1624	640
storeShelving01Top	1740	640
storeShelving01TopDouble	1856	640
wastelandCar01	1972	640
wastelandCar02	2088	640
wastelandCar03	2204	640
wastelandCar04	2320	640
wastelandCar05	2436	640
wastelandCar06	2552	640
wastelandCar07	2668	640
wastelandCar08	2784	640
wastelandCar09	2900	640
wastelandCar10	3016	640
wastelandCar11	3132	640
wastelandCar12	3248	640
cinderBlocks03	3364	640
birdnest	3480	640
bed02_1	3596	640
bed02_2	3712	640
bed02_3	3828	640
bed02_4	3944	640
endTable	0	720
endTableLamp	116	720
sectionalArm2	232	720
sectionalCorner2	348	720
sectionalMiddle2	464	720
tv	580	720
tv_fallen	696	720
tv_large_1	812	720
tv_large_2	928	720
forge	1044	720
munitionsBox	1160	720
ironBars	1276	720
MountainPine6m	1392	720
MountainPine8m	1508	720
MountainPine13m	1624	720
MountainPine16m	1740	720
MountainPine19m	1856	720
MountainPine20m	1972	720
MountainPineDry	2088	720
Birch10m	2204	720
Birch12m	2320	720
Birch15m	2436	720
DeadShrub	2552	720
Maple6m	2668	720
Maple13m	2784	720
Maple14m	2900	720
Maple15m	3016	720
Maple16m	3132	720
Maple17m	3248	720
Bush1	3364	720
BurntPine01	3480	720
BurntPine02	3596	720
BurntPine03	3712	720
BurntPine04	3828	720
DeadTree01	3944	720
DeadTree02	0	800
brick_decayed_broke1	116	800
brick_decayed_broke2	232	800
brick_decayed_broke3	348	800
WinterEverGreen	464	800
WinterPine01	580	800
Stump	696	800
WinterPine02	812	800
WinterPine03	928	800
desertShrub	1044	800
backpackDropped	1160	800
concreteDestroyed1	1276	800
concreteDestroyed2	1392	800
concreteDestroyed3	1508	800
concreteDestroyed4	1624	800
concreteDestroyed5	1740	800
concreteDestroyed6	1856	800
concreteDestroyed7	1972	800
concreteDestroyed8	2088	800
concreteDestroyed9	2204	800
tanBrickDecayedBroke1	2320	800
tanBrickDecayedBroke2	2436	800
tanBrickDecayedBroke3	2552	800
paintedBrickBroke1	2668	800
paintedBrickBroke2	2784	800
paintedBrickBroke3	2900	800
concreteTrim2Broke1	3016	800
concreteTrim2Broke2	3132	800
concreteTrim2Broke3	3248	800
concreteTrim2Broke4	3364	800
whiteSidingWoodPanelBurnt1	3480	800
whiteSidingWoodPanelBurnt2	3596	800
whiteSidingWoodPanelBurnt3	3712	800
whiteSidingWoodPanelBurnt4	3828	800
whiteSidingWoodPanelBurnt5	3944	800
whiteSidingWoodPanelBurnt6	0	880
whiteSidingWoodPanelBurnt7	116	880
faucet02	232	880
faucet04	348	880
faucetBrass02	464	880
faucetBrass04	580	880
fileCabinet	696	880
cooler	812	880
schoolDesk	928	880
lockers	1044	880
fountain	1160	880
gunSafe	1276	880
graniteSink	1392	880
rockResource	1508	880
secureDoorWooden	1624	880
wedgeBlueMetalRoof	1740	880
BlueMetalRoof	1856	880
blueDrywall	1972	880
brickPaintedTanDrywall	2088	880
brickPaintedTanBaseboard	2204	880
brickPaintedBlueDrywall	2320	880
secureGunSafe	2436	880
secureStorageChest	2552	880
rockResource02	2668	880
rebarFrame	2784	880
secureReinforcedDoorWooden	2900	880
metalReinforcedDoorWooden	3016	880
rockResourceBroke1	3132	880
rockResourceBroke2	3248	880
rockResource02Broke1	3364	880
rockResource02Broke2	3480	880
rockResource02Broke3	3596	880
window02Frame	3712	880
window02	3828	880
glass	3944	880
cactus01	0	960
cactus02	116	960
cactus03	232	960
cactus04	348	960
cactus05	464	960
cactus06	580	960
plantedMountainPine1m	696	960
plantedMountainPine6m	812	960
plantedMountainPine8m	928	960
plantedMountainPine13m	1044	960
plantedMountainPine16m	1160	960
plantedMountainPine19m	1276	960
plantedMaple1m	1392	960
plantedMaple6m	1508	960
plantedMaple13m	1624	960
plantedMaple15m	1740	960
plantedMaple17m	1856	960
adobeWhite	1972	960
clayRoof	2088	960
clayRoofWedge	2204	960
clayRoofCorner	2320	960
adobeWhitePole	2436	960
adobePeachPole	2552	960
adobePeachTube	2668	960
adobeWhiteDrywall	2784	960
adobeWhiteDrywallBaseboard	2900	960
adobePeachDrywall	3016	960
adobePeachDrywallBaseboard	3132	960
cremeDrywall	3248	960
cremeDrywallBaseboard	3364	960
stairsTileFloor5	3480	960
asphaltDrywall	3596	960
GoreBlock1Prefab	3712	960
GoreBlock1BonesPrefab	3828	960
reinforcedTrunkPineTip	3944	960
reinforcedMetalTrunkPineTip	0	1040
reinforcedWoodTrunk	116	1040
reinforcedMetalWoodTrunk	232	1040
dropCeiling02	348	1040
cabinetOldFiller	464	1040
cabinetFiller	580	1040
cabinetOldTopPlate	696	1040
cabinetTopPlate	812	1040
plantedCotton	928	1040
cotton	1044	1040
wallPlasterBaseboard2	1160	1040
wallPlasterMiddle2	1276	1040
wallPlasterTop2	1392	1040
WedgedCornerFullOldWood	1508	1040
WedgedInnerFullDrywall	1624	1040
concreteBarrier	1740	1040
plateCenteredDrywall	1856	1040
dropCeiling2RoofAsphalt	1972	1040
railingBlack	2088	1040
stairsTileFloor3	2204	1040
bookStoreBookcase	2320	1040
concreteTrim2TanDrywall	2436	1040
drywallTrim2Sides	2552	1040
cremeBacksplash	2668	1040
drywallOldwood	2784	1040
insideCornerWedgeClayRoof	2900	1040
cremeDrywallBaseboard2Sides	3016	1040
scrapIronWall	3132	1040
reinforcedScrapIronWall	3248	1040
scrapIronRampFrame	3364	1040
scrapIronRamp	3480	1040
reinforcedScrapIronRamp	3596	1040
bookcase	3712	1040
scrapIronFrame	3828	1040
solidScrapIronFrame	3944	1040
solidScrapIronRampFrame	0	1120
scrapIronInsideCornerFrame	116	1120
scrapIronInsideCorner	232	1120
solidScrapIronInsideCornerFrame	348	1120
reinforcedScrapIronInsideCorner	464	1120
scrapIronOutsideCornerFrame	580	1120
scrapIronOutsideCorner	696	1120
solidScrapIronOutsideCornerFrame	812	1120
reinforcedScrapIronOutsideCorner	928	1120
woodInsideCornerFrame	1044	1120
woodInsideCorner	1160	1120
solidWoodInsideCornerFrame	1276	1120
reinforcedWoodInsideCorner	1392	1120
metalReinforcedWoodInsideCorner	1508	1120
woodOutsideCornerFrame	1624	1120
woodOutsideCorner	1740	1120
solidWoodOutsideCornerFrame	1856	1120
reinforcedWoodOutsideCorner	1972	1120
metalReinforcedWoodOutsideCorner	2088	1120
coffeeSprout	2204	1120
coffeeGrowing	2320	1120
coffeePlant	2436	1120
goldenrodSprout	2552	1120
goldenrodGrowing	2668	1120
goldenrod	2784	1120
brick	2900	1120
brownGrassDiagonal	3016	1120
tallGrassDiagonal	3132	1120
concrete	3248	1120
trunkPine	3364	1120
plainsGrassDiagonal	3480	1120
eighthBlock	3596	1120
quarterBlock	3712	1120
halfBlockConcrete	3828	1120
wedgeBrick	3944	1120
cornerWedgeConcrete	0	1200
pyramidConcrete	116	1200
concreteBlock	232	1200
cornerFullWedgeConcrete	348	1200
poleBlock	464	1200
plateBlock	580	1200
cobblestone	696	1200
garageDoor1Centered	812	1200
poleBlockWroughtIron	928	1200
ladder	1044	1200
wedgeWoodWhiteShinglesAsphalt	1160	1200
angledOldWoodSupport	1276	1200
wedgeOldWoodShinglesOld	1392	1200
wedgeAwning1	1508	1200
Awning1	1624	1200
logCabin	1740	1200
shinglesWood	1856	1200
wedgeCabinShingles	1972	1200
metalRivet	2088	1200
wedgeMetalRivet	2204	1200
curtain_top1	2320	1200
sidingBluePlasterBaseboard	2436	1200
sidingGreenPlasterBaseboard	2552	1200
sidingWhitePlasterBaseboard	2668	1200
sidingYellowPlasterBaseboard	2784	1200
sidingTanPlasterBaseboard	2900	1200
brickPlasterBaseboard	3016	1200
pyramidAwning1	3132	1200
gableAwning1	3248	1200
wedge60EndShinglesAspaltBlue	3364	1200
wedgeSidingWhiteBurnt01	3480	1200
concreteSlope	3596	1200
stairsWroughtIron	3712	1200
wedge60TipShinglesAspaltBlue	3828	1200
panelingBurnt	3944	1200
cornerWedgeCorregatedMetal	0	1280
PlainsTree	116	1280
bridgeAsphalt	232	1280
bridgeMetalRivet	348	1280
bridgeConcrete	464	1280
bridgeOldWood	580	1280
concreteTrimTanDrywall	696	1280
dropCeilingRedWoodTrim	812	1280
waterMovingBucket	928	1280
waterStaticBucket	1044	1280
waterMoving	1160	1280
water	1276	1280
insideCornerWedgeAsphaltShingle	1392	1280
gableBrickModern	1508	1280
reinforcedCobblestone	1624	1280
halfBlockOldWood	1740	1280
tanStucco	1856	1280
tanStuccoPlasterBaseboard	1972	1280
stairsQuarterFilledWood	2088	1280
stairsQuarterFilledConcrete	2204	1280
stairsSmallRichwood	2320	1280
stairsStone	2436	1280
rug01	2552	1280
cabinet	2668	1280
powerPoleQuarter	2784	1280
fridgeTop	2900	1280
fridgeBottom	3016	1280
Carpet1	3132	1280
tanStuccotileFloor1	3248	1280
adobeTan	3364	1280
adobeTanRamp	3480	1280
adobePeach	3596	1280
adobeWhiteRampTrim	3712	1280
adobeWhiteRamp	3828	1280
adobeWhiteTrimCorner	3944	1280
adobeWhiteInsideTrimCorner	0	1360
solidRebarFrame	116	1360
plantYucca	232	1360
plantAloe	348	1360
oldWood	464	1360
woodRampFrame	580	1360
woodRamp	696	1360
shinglesOld	812	1360
barnWood	928	1360
corregatedMetal2	1044	1360
hayBale	1160	1360
doNotUse	1276	1360
PlainsTree2	1392	1360
greenBrownGrassDiagonal	1508	1360
woodenStairs	1624	1360
wedgeTanDrywallBaseboard	1740	1360
wedgeTanDrywall	1856	1360
drywallCeiling	1972	1360
reinforcedWoodRamp	2088	1360
reinforcedWoodMetalRamp	2204	1360
deadPineLeaf	2320	1360
sidewalkFull	2436	1360
lootForest	2552	1360
lootHouse	2668	1360
lootStreet	2784	1360
lootYard	2900	1360
rebarRampFrame	3016	1360
solidRebarRampFrame	3132	1360
concreteRampFrame	3248	1360
DrywallIndustrialTile	3364	1360
pouredConcreteRamp	3480	1360
lootGarage	3596	1360
plantChrysanthemum	3712	1360
plant02	3828	1360
wedge60Curb	3944	1360
corregatedMetalWedge	0	1440
wedge60CurbCorner	116	1440
concreteRampReinforced	232	1440
cardboardBox	348	1440
woodFence	464	1440
woodFenceOldFarm	580	1440
whitePicketFence	696	1440
wroughtIronFence	812	1440
tire	928	1440
plantedCornSeed	1044	1440
growableCornTop1	1160	1440
growableCornTop2	1276	1440
grownUpCornStalk1	1392	1440
grownUpCornStalk2	1508	1440
grownUpCornTop1	1624	1440
grownUpCornTop2	1740	1440
painting02	1856	1440
tileFloor4	1972	1440
oldStuccoWoodShake	2088	1440
oldStuccoWoodShakeTip	2204	1440
awning1cornerFullWedge	2320	1440
awning2cornerFullWedge	2436	1440
awning2WedgedInner	2552	1440
awning3WedgedInner	2668	1440
tubeDrywallBaseboard	2784	1440
tubepowerPoleWoodFull	2900	1440
tubeMetal1NoDistort	3016	1440
tubeMetal2NoDistort	3132	1440
tubeHalfPoleWoodFull	3248	1440
tubeHalfMetal1	3364	1440
tubeHalfMetal2	3480	1440
corrugatedMetalThin	3596	1440
smokestackWhite	3712	1440
smokestackWhiteCube	3828	1440
smokestackWhiteWedge	3944	1440
ventDuctWedge	0	1520
chaulkboard	116	1520
concreteTrim2Wedge	232	1520
concreteTrim3TanDrywall	348	1520
wedge60EndConcrete	464	1520
wedge60EndGravel	580	1520
wedge60EndBarnWood	696	1520
wedge60EndAsphalt	812	1520
wedge60EndWoodOld	928	1520
wedge60EndBrickMetal	1044	1520
redWoodPillar	1160	1520
oldWoodPillar	1276	1520
wedgeWoodShinglesOld	1392	1520
wedgeWoodShinglesAlsphalt	1508	1520
cabinetOldSink	1624	1520
flagstoneDrywall	1740	1520
brickModernTanDrywall	1856	1520
brickModernTanBaseboard	1972	1520
flagstone	2088	1520
brickPaver	2204	1520
flagstoneDrywallBaseboard	2320	1520
brickAsphalt	2436	1520
planks4	2552	1520
woodFloor01	2668	1520
brickDecayed	2784	1520
brickDecayedAsphalt	2900	1520
tileIndustrial	3016	1520
brickDecayedTan	3132	1520
concreteTrim2	3248	1520
concreteTrim3	3364	1520
concreteTrim	3480	1520
halfBlockGravel	3596	1520
graveStone1	3712	1520
halfBlockConcreteAsphalt	3828	1520
halfBlockMetalAsphalt	3944	1520
halfBlockBrickMetal	0	1600
wedgeWoodWhiteShinglesOld	116	1600
wedgeBarnShingles	232	1600
wedgeWoodWhiteShinglesAlsphalt	348	1600
wedgeBrickModern01Shingles	464	1600
wedgeFlagstoneShingles	580	1600
wedgeDrywallCeiling	696	1600
cornerHouseShinglesOld	812	1600
cornerHouseShinglesAsphalt	928	1600
cornerHouseShinglesWood	1044	1600
pyramidShinglesOld	1160	1600
pyramidShinglesAsphalt	1276	1600
pyramidShinglesWood	1392	1600
roofAsphalt	1508	1600
dropCeilingRoofAsphalt	1624	1600
concreteTileGreen	1740	1600
concreteTileBrown	1856	1600
cornerFullWedgeShinglesOld	1972	1600
cornerFullWedgeAsphaltShingles	2088	1600
cornerFullWedgeShinglesAsphalt	2204	1600
cornerFullWedgeShinglesWood	2320	1600
woodShinglesCorner	2436	1600
poleBlockOldWood	2552	1600
poleBlockWoodPainted1	2668	1600
woodPainted3	2784	1600
wedgeWoodWhiteShinglesWood	2900	1600
wedgeOldStuccoWoodShake	3016	1600
wedgeOldWoodShinglesAsphalt	3132	1600
wedgeAwning2	3248	1600
wedgeAwning3	3364	1600
Awning2	3480	1600
Awning3	3596	1600
wedgeCabinShinglesWood	3712	1600
wedgeCabinOldWood	3828	1600
wedgeCabinFlagstone	3944	1600
wedgeHouseShinglesWood	0	1680
wedgeHouseShinglesAsphalt	116	1680
wedgeHouseShinglesOld	232	1680
wedgeHouseWoodWhite	348	1680
WroughtIronMetal	464	1680
CorregatedMetal	580	1680
wedgeWroughtIron	696	1680
curtain_bottom1	812	1680
sidingBluePlasterMiddle	928	1680
sidingBluePlasterTop	1044	1680
sidingBlueOldWood	1160	1680
sidingGreenPlasterMiddle	1276	1680
sidingGreenPlasterTop	1392	1680
sidingGreenOldWood	1508	1680
sidingWhitePlasterMiddle	1624	1680
sidingWhitePlasterTop	1740	1680
sidingWhiteOldWood	1856	1680
sidingWhiteBurnt	1972	1680
sidingYellowPlasterMiddle	2088	1680
sidingYellowPlasterTop	2204	1680
sidingYellowOldWood	2320	1680
sidingTanPlasterMiddle	2436	1680
sidingTanPlasterTop	2552	1680
sidingTanOldWood	2668	1680
brickPlasterMiddle	2784	1680
brickPlasterTop	2900	1680
brickOldWood	3016	1680
pyramidAwning2	3132	1680
pyramidAwning3	3248	1680
gableAwning2	3364	1680
gableAwning3	3480	1680
wedge60EndShinglesAsphaltGreen	3596	1680
wedge60EndShinglesAsphaltWhite	3712	1680
wedge60EndShinglesAsphaltYellow	3828	1680
wedge60EndShinglesAsphaltTan	3944	1680
wedge60EndShinglesAsphaltBurnt	0	1760
wedgeSidingWhiteBurnt02	116	1760
alspaltSlope	232	1760
gravelSlope	348	1760
brickDecayedSlope	464	1760
cobblestoneWedge	580	1760
brickDecayedTanSlope	696	1760
brickPaintedSlope	812	1760
stairsMetalRivet	928	1760
wedge60TipShinglesAsphaltGreen	1044	1760
wedge60TipShinglesAsphaltWhite	1160	1760
wedge60TipShinglesAsphaltYellow	1276	1760
wedge60TipShinglesAsphaltTan	1392	1760
wedge60TipShinglesAsphaltBurnt	1508	1760
insideCornerWedgeShinglesOld	1624	1760
insideCornerWedgeShinglesAsphalt	1740	1760
insideCornerWedgeShinglesWood	1856	1760
insideCornerWedgeShinglesWood2	1972	1760
insideCornerWedgeOldWood	2088	1760
gableFlagstone	2204	1760
gableWhiteWoodShinglesOld	2320	1760
gableWhiteWoodShinglesAsphalt	2436	1760
gableCorregatedMetal	2552	1760
gableWhiteWoodShinglesWood	2668	1760
gableWoodShinglesWood	2784	1760
tanStuccoPlasterMiddle	2900	1760
tanStuccoPlasterTop	3016	1760
tanStuccoOldWood	3132	1760
tanStuccoDeleteMe	3248	1760
stairsWoodPainted1	3364	1760
stairsCarpet1	3480	1760
stairsCarpet2	3596	1760
stairsPavers	3712	1760
stairsConcrete	3828	1760
stairstileFloor4	3944	1760
cabinetOldBottom	0	1840
cabinetOldTop	116	1840
wallOven	232	1840
cabinetTop	348	1840
Carpet2	464	1840
Carpet2WoodPainted2	580	1840
tanStuccotileFloor2	696	1840
tanStuccoCarpet1	812	1840
tanStuccoCarpet2	928	1840
OldWoodWoodPainted2	1044	1840
ShinglesAsphaultFlat	1160	1840
concreteBlueDrywall	1276	1840
woodPainted1	1392	1840
woodPainted1ShinglesOld	1508	1840
woodPainted2	1624	1840
tileFloor2WoodPainted2	1740	1840
tileFloor1WoodPainted2	1856	1840
Carpet1WoodPainted2	1972	1840
scrapMetalWall	2088	1840
ventDuctBlock	2204	1840
railingMetal	2320	1840
barbedWire	2436	1840
cable1	2552	1840
garageDoor1	2668	1840
platePanelingBurnt	2784	1840
plateOldWood	2900	1840
fenceWood	3016	1840
cobblestoneWedgeBroke01	3132	1840
cobblestoneWedgeBroke02	3248	1840
shutters1	3364	1840
plywoodOsb	3480	1840
plywoodOsbCentered	3596	1840
drywall	3712	1840
drywallTrim	3828	1840
dropCeiling	3944	1840
rug01Drywall	0	1920
tileFloor3Drywall	116	1920
carpet3Drywall	232	1920
tileBackspashDrywall	348	1920
snowyDeadBush	464	1920
BaseboardIndustrialTile	580	1920
brickModernTanIndustrialTile	696	1920
yellowflower	812	1920
sidewalkWedge60	928	1920
sidewalkCurb	1044	1920
wedge60TipConcrete	1160	1920
wedge60TipGravel	1276	1920
wedge60TipBarnWood	1392	1920
wedge60TipAsphalt	1508	1920
wedge60TipWoodOld	1624	1920
wedge60TipBrickMetal	1740	1920
barnWedgeMetalRoof	1856	1920
barnWedgeWoodRoof	1972	1920
railingWoodWhite	2088	1920
railingOldWood	2204	1920
railingWroughtIron	2320	1920
cottonYoung	2436	1920
concreteTrim2TanBaseboard	2552	1920
concreteTrim2IndustrialTile	2668	1920
concreteTrim3TanBaseboard	2784	1920
concreteTrim3IndustrialTile	2900	1920
concreteTrimTanBaseboard	3016	1920
concreteTrimIndustrialTile	3132	1920
concreteTanDrywall	3248	1920
concreteTanBaseboard	3364	1920
concreteIndustrialTile	3480	1920
concreteForm	3596	1920
pouredConcrete	3712	1920
glassBusiness	3828	1920
glassBusinessCentered	3944	1920
glassBusinessBlock	0	2000
cabinetFiller2	116	2000
cabinetOldFiller2	232	2000
commercialDoor1_v1	348	2000
commercialDoor1_v2	464	2000
commercialDoor1_v3	580	2000
commercialDoor2_v1	696	2000
commercialDoor2_v2	812	2000
commercialDoor2_v3	928	2000
commercialDoor3_v1	1044	2000
commercialDoor3_v2	1160	2000
commercialDoor3_v3	1276	2000
commercialDoor4_v1	1392	2000
commercialDoor4_v2	1508	2000
commercialDoor4_v3	1624	2000
houseFrontDoor1_v1	1740	2000
concreteReinforcedBroke01	1856	2000
concreteReinforcedBroke02	1972	2000
concreteReinforcedBroke03	2088	2000
houseFrontDoor1_v2	2204	2000
houseFrontDoor1_v3	2320	2000
supplyCrateShamway	2436	2000
lootCrateShamway	2552	2000
woodBarricade	2668	2000
woodBarricadeCentered	2784	2000
woodBarricade02	2900	2000
woodBarricade02Centered	3016	2000
window02Broken01	3132	2000
window02Broken02	3248	2000
window02Broken03	3364	2000
window03Broke1	3480	2000
window03Broke2	3596	2000
window03Broke3	3712	2000
window03Broke4	3828	2000
window03	3944	2000
window03Frame	0	2080
glassIndustrial02	116	2080
glassIndustrial02Broken01	232	2080
glassIndustrial02Broken02	348	2080
miniblindTop	464	2080
miniblindBottom	580	2080
window04Frame	696	2080
window04	812	2080
doorFrameWhite1	928	2080
doorFrameWhite2	1044	2080
doorFrameMetal1	1160	2080
doorFrameMetal2	1276	2080
doorFrameWhiteBoarded1	1392	2080
doorFrameWhiteBoarded2	1508	2080
doorFrameMetalBoarded1	1624	2080
doorFrameMetalBoarded2	1740	2080
storageAmmo	1856	2080
storageBuilding	1972	2080
storageExplosives	2088	2080
storageFood	2204	2080
storageWeapons	2320	2080
houseFrontDoor2_v1	2436	2080
houseFrontDoor2_v2	2552	2080
houseFrontDoor2_v3	2668	2080
gasSign	2784	2080
gasSignLit	2900	2080
gasSignWall	3016	2080
gasSignWallLit	3132	2080
gasSignLarge	3248	2080
gasSignLargeLit	3364	2080
gasSignWallLarge	3480	2080
gasSignWallLargeLit	3596	2080
gunStoreSign	3712	2080
gunStoreSignLit	3828	2080
gunStoreSignWall	3944	2080
gunStoreSignWallLit	0	2160
gunStoreSignLarge	116	2160
gunStoreSignLargeLit	232	2160
gunStoreSignWallLarge	348	2160
gunStoreSignWallLargeLit	464	2160
supplyCrateShotgunMessiah	580	2160
