116	80
ceilingLight04	2691	405
ceilingLight05	2808	405
ceilingLight05Brass	2925	405
wallLight01	3042	405
ceilingLight07	3159	405
cntMailbox	3276	405
pew_segment01	3393	405
pew_segment02	3510	405
pew_segment03	3627	405
cntChest01	3744	405
cntChest02	3861	405
metalRivetSheet	3978	405
adobeWhitePyramid	0	486
cntTrash_can01	117	486
cntBin	234	486
cntNightstand	351	486
cntSuitcase	468	486
cntStorageChest	585	486
cntTrashPile01	702	486
cntTrashPile02	819	486
cntTrashPile03	936	486
cntTrashPile04	1053	486
cntTrashPile05	1170	486
cntTrashPile06	1287	486
cntTrashPile07	1404	486
cntTrashPile08	1521	486
cntTrashPile09	1638	486
cntFridge	1755	486
cntGasPump	1872	486
wallTorch	1989	486
graveStone01	2106	486
graveStone02	2223	486
graveStone03	2340	486
graveStone04	2457	486
graveStone05	2574	486
graveStone06	2691	486
graveStone07	2808	486
graveStone08	2925	486
boardedWindowsSheet4	3042	486
cntCorpseLoot01	3159	486
tanDrywallPillar100	3276	486
poleTop01	3393	486
streetLight01	3510	486
airConditioner	3627	486
cntDeskSafe	3744	486
cntWallSafe	3861	486
cntCorpseLoot02	3978	486
cntMailBox01	0	567
cntMailBox02	117	567
cntMailBox03	234	567
treasureChest	351	567
oilBarrel	468	567
cinderBlocks01	585	567
brickCNRFull	702	567
concretePillar100	819	567
concretePillar50	936	567
decals1	1053	567
tnt	1170	567
brickCNRInside	1287	567
tileFloor5Block	1404	567
scrapIronSheet	1521	567
metalTrussingBlock	1638	567
redMetalPillar100	1755	567
redMetalBlockDuplicate	1872	567
redMetalRamp	1989	567
ladderMetal	2106	567
brickCNRRamp	2223	567
tileIndustrialDecayedBrickBlock	2340	567
tileIndustrialPlate	2457	567
concreteTrimRamp	2574	567
concreteTrimCNRRamp	2691	567
glassIndustrialCTRPlate	2808	567
corrugatedMetalSheet	2925	567
brickPlate	3042	567
camoNetSheet	3159	567
shinglesAsphaltGreenWedgeRename	3276	567
sidewalkHalf	3393	567
metalTrussingSheet	3510	567
blueConcretePillar100	3627	567
orangeConcretePillar100	3744	567
corrugatedMetalCTRPlate	3861	567
keystoneBlock	3978	567
trapSpikesNew	0	648
trapSpikesDamage1	117	648
trapSpikesDamage2	234	648
trapSpikesDamage3	351	648
trapSpikesDamage4	468	648
trapSpikesDamage5	585	648
steelBlock	702	648
corrugatedMetalCNRFull	819	648
cinderBlocks02	936	648
scrapMetalPile	1053	648
woodLogSpike1	1170	648
corrugatedMetalCNRInside	1287	648
sidingWhiteOldWoodBlock	1404	648
scrapIronGrateSheet	1521	648
cntBackpack01	1638	648
cntBackpack02	1755	648
cntBackpack03	1872	648
cntDuffle01	1989	648
cntSportsBag01	2106	648
cntSportsBag02	2223	648
cntPurse01	2340	648
barbedFence	2457	648
mineCandyTin	2574	648
mineHubcap	2691	648
mineAirFilter	2808	648
cntToilet01	2925	648
cntToilet02	3042	648
cntToilet03	3159	648
bed01	3276	648
bed01Frame	3393	648
mattress	3510	648
mattressFlat	3627	648
driftwood	3744	648
driftwood2	3861	648
signRoadArrowheadApache	3978	648
signCamping	0	729
signCampFish	117	729
signInfoCenter	234	729
signNoHazardousWaste	351	729
signRoadWork	468	729
signRoadRoughSurface	585	729
signSchoolZone	702	729
signRoadSlow	819	729
signRoadSpeed25	936	729
signRoadSpeed25noTrucks	1053	729
signRoadSpeed35	1170	729
signRoadSpeed45	1287	729
signRoadSpeed55	1404	729
signRoadSpeed65	1521	729
signRoadStop	1638	729
signRoadStop4way	1755	729
signRoadPrivate	1872	729
signNationalPark	1989	729
signSpillwayLake	2106	729
rebarDestroyed	2223	729
chair01	2340	729
cntDesk01	2457	729
cntDesk02	2574	729
officeChair01	2691	729
storeShelving01	2808	729
storeShelving01Double	2925	729
storeShelving01Top	3042	729
storeShelving01TopDouble	3159	729
cinderBlocks03	3276	729
cntBirdnest	3393	729
endTable	3510	729
endTableLamp	3627	729
sectionalArm2	3744	729
sectionalCorner2	3861	729
sectionalMiddle2	3978	729
tv	0	810
forge	117	810
cntMunitionsBox	234	810
ironBars	351	810
treeJuniper6m	468	810
treeMountainPine8m	585	810
treeMountainPine13m	702	810
treeMountainPine16m	819	810
treeMountainPine19m	936	810
treeMountainPine20m	1053	810
treeMountainPineDry	1170	810
treeBirch10m	1287	810
treeBirch12m	1404	810
treeBirch15m	1521	810
treeDeadShrub	1638	810
treeMaple6m	1755	810
treeMaple13m	1872	810
treeMaple15m	1989	810
treeMaple16m	2106	810
treeMaple17m	2223	810
treeBurntPine01	2340	810
treeBurntPine02	2457	810
treeBurntPine03	2574	810
treeDeadTree01	2691	810
treeDeadTree02	2808	810
brickDecayedBroke1Block	2925	810
brickDecayedBroke2Block	3042	810
brickDecayedBroke3Block	3159	810
treeWinterEverGreen	3276	810
treeWinterPine01	3393	810
cntTreeStump	3510	810
treeWinterPine02	3627	810
treeWinterPine03	3744	810
treeDesertShrub	3861	810
cntBackpackDropped	3978	810
concreteDestroyed1	0	891
concreteDestroyed2	117	891
concreteDestroyed3	234	891
concreteDestroyed4	351	891
concreteDestroyed5	468	891
concreteDestroyed6	585	891
concreteDestroyed7	702	891
concreteDestroyed8	819	891
concreteDestroyed9	936	891
tanBrickDecayedBroke1	1053	891
tanBrickDecayedBroke2	1170	891
tanBrickDecayedBroke3	1287	891
paintedBrickBroke1	1404	891
paintedBrickBroke2	1521	891
paintedBrickBroke3	1638	891
concreteTrim2Broke1	1755	891
concreteTrim2Broke2	1872	891
concreteTrim2Broke3	1989	891
concreteTrim2Broke4	2106	891
whiteSidingWoodPanelBurnt1	2223	891
whiteSidingWoodPanelBurnt2	2340	891
whiteSidingWoodPanelBurnt3	2457	891
whiteSidingWoodPanelBurnt4	2574	891
whiteSidingWoodPanelBurnt5	2691	891
whiteSidingWoodPanelBurnt6	2808	891
whiteSidingWoodPanelBurnt7	2925	891
faucet02	3042	891
faucet04	3159	891
faucetBrass02	3276	891
faucetBrass04	3393	891
cntFileCabinet	3510	891
cntCooler	3627	891
schoolDesk	3744	891
cntLockers	3861	891
fountain	3978	891
cntGunSafe	0	972
cntGraniteSink	117	972
rockResource	234	972
secureDoorWooden	351	972
blueMetalRamp1	468	972
blueMetalBlock	585	972
blueDrywallBlock	702	972
cntSecureStorageChest	819	972
rockResource02	936	972
secureReinforcedDoorWooden	1053	972
metalReinforcedDoorWooden	1170	972
rockResourceBroke1	1287	972
rockResourceBroke2	1404	972
rockResource02Broke1	1521	972
rockResource02Broke2	1638	972
rockResource02Broke3	1755	972
window02Frame	1872	972
window02	1989	972
glassCTRSheet	2106	972
treeCactus01	2223	972
treeCactus02	2340	972
treeCactus03	2457	972
treeCactus04	2574	972
treeCactus05	2691	972
treeCactus06	2808	972
treePlantedMountainPine1m	2925	972
treePlantedMountainPine6m	3042	972
treePlantedMountainPine8m	3159	972
treePlantedMountainPine13m	3276	972
treePlantedMountainPine16m	3393	972
treePlantedMountainPine19m	3510	972
treePlantedMaple1m	3627	972
treePlantedMaple6m	3744	972
treePlantedMaple13m	3861	972
treePlantedMaple15m	3978	972
treePlantedMaple17m	0	1053
adobeWhiteBlock	117	1053
clayRoofBlock	234	1053
clayRoofRamp	351	1053
clayRoofCNRFull	468	1053
adobeWhitePole	585	1053
adobePeachPole	702	1053
adobePeachPillar100	819	1053
adobePeachBlock	936	1053
cremeDrywallBlock	1053	1053
cremeDrywallBaseboardBlock	1170	1053
tileFloor5Stairs25	1287	1053
adobeWhitePillar100	1404	1053
asphaltDrywallBlock	1521	1053
GoreBlock1Prefab	1638	1053
GoreBlock1BonesPrefab	1755	1053
rWoodLogSpike2	1872	1053
rWoodMetalLogSpike3	1989	1053
rWoodPillar100	2106	1053
rWoodMetalPillar100	2223	1053
dropCeiling02Block	2340	1053
adobeWhitePillar50	2457	1053
cabinetOldFillerBlock	2574	1053
cabinetFillerBlock	2691	1053
cabinetOldTopPlate	2808	1053
cabinetTopPlate	2925	1053
cottonSeed	3042	1053
plantedCotton3Harvest	3159	1053
wallPlasterBaseboard2Block	3276	1053
wallPlasterMiddle2Block	3393	1053
wallPlasterTop2Block	3510	1053
drywallWhiteCNRInside	3627	1053
concreteCTRPlate	3744	1053
drywallWhitePlate	3861	1053
dropCeiling2RoofAsphaltBlock	3978	1053
railingBlackSheet	0	1134
tileFloor3Stairs25	117	1134
cntBookStoreBookcase	234	1134
concreteTrim2TanDrywallBlock	351	1134
drywallTrim2SidesBlock	468	1134
cremeBacksplashBlock	585	1134
drywallOldwoodBlock	702	1134
clayRoofCNRInside	819	1134
cremeDrywallBaseboard2SidesBlock	936	1134
scrapIronBlock	1053	1134
rScrapIronBlock	1170	1134
adobeWhiteCNRRamp	1287	1134
adobeWhiteCNRFull	1404	1134
adobeWhiteCNRInside	1521	1134
adobeWhitePlate	1638	1134
adobeWhiteWedge	1755	1134
adobeWhiteWedgeTip	1872	1134
adobePeachRamp	1989	1134
adobePeachPillar50	2106	1134
adobePeachCNRRamp	2223	1134
adobePeachCNRFull	2340	1134
adobePeachCNRInside	2457	1134
adobePeachPlate	2574	1134
adobePeachWedge	2691	1134
adobePeachWedgeTip	2808	1134
coffeeBeans	2925	1134
plantedCoffee2	3042	1134
plantedCoffee3Harvest	3159	1134
goldenrodSeed	3276	1134
plantedGoldenrod2	3393	1134
plantedGoldenrod3Harvest	3510	1134
treeBrownGrassDiagonal	3627	1134
treeTallGrassDiagonal	3744	1134
woodLogPillar100	3861	1134
treePlainsGrassDiagonal	3978	1134
concreteEighth	0	1215
concreteQuarter	117	1215
concreteHalf	234	1215
concreteCNRRamp	351	1215
concretePyramid	468	1215
concreteBricksBlock	585	1215
concreteCNRFull	702	1215
concretePole	819	1215
concretePlate	936	1215
panelingBurntStairs25	1053	1215
cobblestoneBlock	1170	1215
garageDoor1CTRPlate	1287	1215
rustyIronPole	1404	1215
ladderWood	1521	1215
awningRedRamp	1638	1215
awningRedBlock	1755	1215
logCabinBlock	1872	1215
woodShinglesBlock	1989	1215
woodShinglesRamp	2106	1215
metalRivetBlock	2223	1215
metalRivetRamp	2340	1215
curtain_top1Sheet3	2457	1215
sidingBluePlasterBaseboardBlock	2574	1215
sidingGreenPlasterBaseboardBlock	2691	1215
sidingWhitePlasterBaseboardBlock	2808	1215
sidingYellowPlasterBaseboardBlock	2925	1215
sidingTanPlasterBaseboardBlock	3042	1215
brickPlasterBaseboardBlock	3159	1215
awningRedPyramid	3276	1215
awningRedGable	3393	1215
shinglesAspaltBlueWedge	3510	1215
sidingWhiteBurnt01Ramp	3627	1215
rustyIronStairs25	3744	1215
shinglesAsphaltBlueWedgeTip	3861	1215
panelingBurntBlock	3978	1215
corrugatedMetalCNRRamp	0	1296
treePlainsTree	117	1296
bridgeAsphaltBlock	234	1296
bridgeMetalRivetBlock	351	1296
bridgeConcreteBlock	468	1296
bridgeWoodBlock	585	1296
concreteTrimTanDrywallBlock	702	1296
dropCeilingRedWoodTrimBlock	819	1296
waterSource8	936	1296
asphaltShingleCNRInside	1053	1296
brickModernGable	1170	1296
woodHalf	1287	1296
tanStuccoBlock	1404	1296
tanStuccoPlasterBaseboardBlock	1521	1296
woodStairs50	1638	1296
concreteStairs50	1755	1296
redWoodStairs25	1872	1296
cobblestoneStairs25	1989	1296
rug01Block	2106	1296
cntCabinet	2223	1296
woodQuarter	2340	1296
cntFridgeTop	2457	1296
cntFridgeBottom	2574	1296
Carpet1Block	2691	1296
tanStuccotileFloor1Block	2808	1296
adobeTanBlock	2925	1296
adobeTanRamp	3042	1296
adobeWhiteTrimRamp	3159	1296
adobeWhiteRamp	3276	1296
adobeWhiteTrimCNRFull	3393	1296
adobeWhiteTrimCNRInside	3510	1296
plantedYucca3Harvest	3627	1296
plantedAloe3Harvest	3744	1296
greenShinglesBlock	3861	1296
barnWoodBlock	3978	1296
corrugatedMetalBlock	0	1377
hayBaleBlock	117	1377
treePlainsTree2	234	1377
treeGreenBrownGrassDiagonal	351	1377
tanDrywallBaseboardRamp	468	1377
tanDrywallRamp	585	1377
drywallWhiteBlock	702	1377
treeDeadPineLeaf	819	1377
sidewalkBlock	936	1377
panelingBurntSupport	1053	1377
DrywallIndustrialTileBlock	1170	1377
plantedChrysanthemum3Harvest	1287	1377
treePlant02	1404	1377
corrugatedMetalRamp	1521	1377
cntCardboardBox	1638	1377
woodFenceSheet	1755	1377
woodFenceFarmSheet	1872	1377
whitePicketFenceSheet	1989	1377
wroughtIronFenceSheet	2106	1377
panelingBurntPillar100	2223	1377
tire	2340	1377
cornSeed	2457	1377
plantedCornTop1	2574	1377
plantedCornTop2	2691	1377
plantedCornStalk1	2808	1377
plantedCornStalk2Harvest	2925	1377
plantedCornTop3Harvest	3042	1377
grownUpCornTop2	3159	1377
painting02	3276	1377
tileFloor4Block	3393	1377
treePlantedGrass	3510	1377
oldStuccoWoodWedge	3627	1377
oldStuccoWoodWedgeTip	3744	1377
awningRedCNRFull	3861	1377
awningTanCNRFull	3978	1377
awningTanCNRInside	0	1458
awningGreenCNRInside	117	1458
peachDrywallBaseboardPillar100	234	1458
powerPoleWoodPillar100	351	1458
rustyIronPillar100	468	1458
corrugatedMetalPillar100	585	1458
powerPoleWoodPillar50	702	1458
rustyIronPillar50	819	1458
corrugatedMetalPillar50	936	1458
decals2	1053	1458
decals3	1170	1458
corrugatedMetalSheetDuplicate	1287	1458
whiteMetalPillar100	1404	1458
whiteMetalBlock	1521	1458
whiteMetalRamp	1638	1458
ventDuctRamp	1755	1458
chaulkboardPlate	1872	1458
concreteTrim2Ramp	1989	1458
concreteTrim3TanDrywallBlock	2106	1458
gravelWedge	2223	1458
barnWoodWedge	2340	1458
brickMetalWedge	2457	1458
redWoodPillar100	2574	1458
woodGreenShinglesRamp	2691	1458
woodAsphaltShinglesRamp	2808	1458
cntCabinetOldSink	2925	1458
flagstoneDrywallBlock	3042	1458
brickModernTanDrywallBlock	3159	1458
flagstoneBlock	3276	1458
brickPaversBlock	3393	1458
flagstoneDrywallBaseboardBlock	3510	1458
brickAsphaltBlock	3627	1458
redWoodBlock	3744	1458
redWoodFloorBlock	3861	1458
brickDecayedBlock	3978	1458
brickDecayedAsphaltBlock	0	1539
tileIndustrialConcreteBlock	117	1539
brickDecayedTanBlock	234	1539
concreteTrim2Block	351	1539
concreteTrim3Block	468	1539
concreteTrimBlock	585	1539
gravelHalf	702	1539
graveStone1Half	819	1539
concreteAsphaltHalf	936	1539
metalAsphaltHalf	1053	1539
brickMetalHalf	1170	1539
dotsGreenShinglesRampDuplicate1	1287	1539
barnShinglesRamp	1404	1539
dotsAsphaltShinglesRamp	1521	1539
drywallCeilingRamp	1638	1539
dotsGreenShinglesCNRRamp	1755	1539
dotsAsphaltShinglesCNRRamp	1872	1539
dotsWoodShinglesWoodCNRRamp	1989	1539
greenShinglesPyramid	2106	1539
shinglesAsphaltPyramid	2223	1539
woodShinglesPyramid	2340	1539
asphaltBlock	2457	1539
concreteTileGreenBlock	2574	1539
concreteTileBrownBlock	2691	1539
dotsGreenShinglesCNRFull	2808	1539
asphaltShinglesCNRFull	2925	1539
shinglesAsphaltCNRFull	3042	1539
woodPole	3159	1539
woodPainted1Pole	3276	1539
woodPainted3Pole	3393	1539
dotsWoodShinglesRamp	3510	1539
oldStuccoWoodShakeRamp	3627	1539
woodAsphaltShinglesRampDuplicate	3744	1539
awningTanRamp	3861	1539
awningGreenRamp	3978	1539
awningTanBlock	0	1620
awningGreenBlock	117	1620
cabinShinglesWoodRamp	234	1620
cabinOldWoodRamp	351	1620
cabinFlagstoneRamp	468	1620
dotsWoodShinglesRampDuplicate	585	1620
dotsAsphaltShinglesRampDuplicate	702	1620
dotsGreenShinglesRampDuplicate2	819	1620
houseWoodWhiteRamp	936	1620
rustyIronBlock	1053	1620
corrugatedMetalBlockDuplicate	1170	1620
rustyIronRamp	1287	1620
curtain_bottom1Sheet3	1404	1620
sidingBluePlasterMiddleBlock	1521	1620
sidingGreenPlasterMiddleBlock	1638	1620
sidingWhitePlasterMiddleBlock	1755	1620
sidingWhitePlasterTopBlock	1872	1620
sidingWhiteBurntBlock	1989	1620
sidingYellowPlasterMiddleBlock	2106	1620
awningTanPyramid	2223	1620
awningGreenPyramid	2340	1620
awningTanGable	2457	1620
awningGreenGable	2574	1620
shinglesAsphaltWhiteWedge	2691	1620
shinglesAsphaltYellowWedge	2808	1620
shinglesAsphaltTanWedge	2925	1620
shinglesAsphaltBurntWedge	3042	1620
sidingWhiteBurnt02Ramp	3159	1620
asphaltRamp	3276	1620
gravelRamp	3393	1620
brickDecayedRamp	3510	1620
cobblestoneRamp	3627	1620
brickDecayedTanRamp	3744	1620
brickPaintedRamp	3861	1620
metalRivetStairs25	3978	1620
shinglesAsphaltGreenWedge	0	1701
shinglesAsphaltWhiteWedgeDuplicate	117	1701
shinglesAsphaltYellowWedgeDuplicate	234	1701
shinglesAsphaltTanWedgeDuplicate	351	1701
shinglesAsphaltBurntWedgeDuplicate	468	1701
dotsGreenShinglesCNRInside	585	1701
dotsAsphaltShinglesCNRInside	702	1701
dotsWoodShinglesCNRInside	819	1701
woodShinglesCNRInside	936	1701
woodCNRInsideDuplicate	1053	1701
flagstoneGable	1170	1701
dotsGreenShinglesGable	1287	1701
dotsAsphaltShinglesGable	1404	1701
corrugatedMetalGable	1521	1701
dotsWoodShinglesGable	1638	1701
woodShinglesGable	1755	1701
tanStuccoPlasterMiddleBlock	1872	1701
tanStuccoPlasterTopBlock	1989	1701
tanStuccoOldWoodBlock	2106	1701
woodPainted1Stairs25	2223	1701
carpet1Stairs25	2340	1701
carpet2Stairs25	2457	1701
brickPaversStairs25	2574	1701
concreteStairs25	2691	1701
tileFloor4Stairs25	2808	1701
cntCabinetOldBottom	2925	1701
cntCabinetOldTop	3042	1701
cntWallOven	3159	1701
cntCabinetTop	3276	1701
Carpet2Block	3393	1701
Carpet2WoodPainted2Block	3510	1701
tanStuccotileFloor2Block	3627	1701
tanStuccoCarpet1Block	3744	1701
tanStuccoCarpet2Block	3861	1701
OldWoodWoodPainted2Block	3978	1701
ShinglesAsphaltFlatBlock	0	1782
concreteBlueDrywallBlock	117	1782
dotsWoodBlock	234	1782
dotsGreenShinglesBlock	351	1782
woodPainted1Block	468	1782
tileFloor2WoodPainted2Block	585	1782
tileFloor1WoodPainted2Block	702	1782
Carpet1WoodPainted2Block	819	1782
scrapIronBlockDuplicate	936	1782
ventDuctBlock	1053	1782
railingMetalSheet	1170	1782
barbedWireSheet	1287	1782
cable1	1404	1782
garageDoor1Plate	1521	1782
panelingBurntPlate	1638	1782
fenceWoodSheet	1755	1782
shutters1Plate	1872	1782
plywoodOsbPlate	1989	1782
plywoodOsbCTRPlate	2106	1782
drywallBlock	2223	1782
peachDrywallBaseboardBlock	2340	1782
dropCeilingBlock	2457	1782
rug01DrywallBlock	2574	1782
tileFloor3DrywallBlock	2691	1782
carpet3DrywallBlock	2808	1782
tileBackspashDrywallBlock	2925	1782
treeSnowyDeadBush	3042	1782
BaseboardIndustrialTileBlock	3159	1782
brickModernTanIndustrialTileBlock	3276	1782
concreteWedge	3393	1782
sidewalkWedge	3510	1782
asphaltWedge	3627	1782
concreteWedgeTip	3744	1782
gravelWedgeTip	3861	1782
barnWoodWedgeTip	3978	1782
asphaltWedgeTip	0	1863
woodWedgeTip	117	1863
brickMetalWedgeTip	234	1863
barnMetalRoofRamp	351	1863
barnWoodRoofRamp	468	1863
railingWoodWhiteSheet	585	1863
railingOldWoodSheet	702	1863
railingWroughtIronSheet	819	1863
plantedCotton2	936	1863
concreteTrim2TanBaseboardBlock	1053	1863
concreteTrim2IndustrialTileBlock	1170	1863
concreteTrim3TanBaseboardBlock	1287	1863
concreteTrim3IndustrialTileBlock	1404	1863
concreteTrimTanBaseboardBlock	1521	1863
concreteTrimIndustrialTileBlock	1638	1863
glassBusinessSheet	1755	1863
glassBusinessCTRSheet	1872	1863
glassBusinessBlock	1989	1863
cabinetFiller2Block	2106	1863
cabinetOldFiller2Block	2223	1863
commercialDoor1_v1	2340	1863
commercialDoor1_v2	2457	1863
commercialDoor1_v3	2574	1863
commercialDoor2_v1	2691	1863
commercialDoor2_v2	2808	1863
commercialDoor2_v3	2925	1863
commercialDoor3_v1	3042	1863
commercialDoor3_v2	3159	1863
commercialDoor3_v3	3276	1863
commercialDoor4_v1	3393	1863
commercialDoor4_v2	3510	1863
commercialDoor4_v3	3627	1863
houseFrontDoor1_v1	3744	1863
houseFrontDoor1_v2	3861	1863
houseFrontDoor1_v3	3978	1863
cntSupplyCrateShamway	0	1944
cntLootCrateShamway	117	1944
sidingWhiteBurntCTRPlate	234	1944
woodBarricadePlate	351	1944
woodBarricadeCTRPlate	468	1944
plainWoodBarricade02Plate	585	1944
plainWoodBarricade02CTRPlate	702	1944
window02Broken01CTRPlate	819	1944
window02Broken02CTRPlate	936	1944
window02Broken03CTRPlate	1053	1944
window03Broke1	1170	1944
window03Broke2	1287	1944
window03Broke3	1404	1944
window03Broke4	1521	1944
window03	1638	1944
window03Frame	1755	1944
glassIndustrial02CTRPlate	1872	1944
glassIndustrial02Broken01CTRPlate	1989	1944
glassIndustrial02Broken02CTRPlate	2106	1944
miniblindTopSheet	2223	1944
miniblindBottomSheet	2340	1944
window04Frame	2457	1944
window04	2574	1944
doorFrameWhite1	2691	1944
doorFrameWhite2	2808	1944
doorFrameMetal1	2925	1944
doorFrameMetal2	3042	1944
doorFrameWhiteBoarded1	3159	1944
doorFrameWhiteBoarded2	3276	1944
doorFrameMetalBoarded1	3393	1944
doorFrameMetalBoarded2	3510	1944
cntStorageAmmo	3627	1944
cntStorageBuilding	3744	1944
cntStorageExplosives	3861	1944
cntStorageFood	3978	1944
cntStorageWeapons	0	2025
houseFrontDoor2_v1	117	2025
houseFrontDoor2_v2	234	2025
houseFrontDoor2_v3	351	2025
signShopGas	468	2025
signShopGunStore	585	2025
cntSupplyCrateShotgunMessiah	702	2025
cntLootCrateShotgunMessiah	819	2025
ironDoor1_v1	936	2025
ironDoor1_v2	1053	2025
ironDoor1_v3	1170	2025
woodHatch1_v1	1287	2025
woodHatch1_v2	1404	2025
woodHatch1_v3	1521	2025
brickModernBlock	1638	2025
torchWallHolder	1755	2025
cobblestoneFrameBlock	1872	2025
cntPillCase	1989	2025
cntBeerCooler	2106	2025
greenMetalRamp	2223	2025
greenMetalBlock	2340	2025
orangeMetalRamp	2457	2025
orangeMetalBlock	2574	2025
greenMetalCNRFull	2691	2025
cobblestoneBlockHalf	2808	2025
cobblestoneBlockThreeQuarters	2925	2025
cobblestoneBlockQuarter	3042	2025
candleWall	3159	2025
signShopBookStore	3276	2025
signShopPharmacy	3393	2025
